security_code,first_sig_year,trigger_year,last_sig_year,why,peak_revenue_yi
600217,2002,2014,2023,T1 滚动三年ROE中位35.5%(首签年8.8%),37.0
002219,2013,2014,2017,T1 滚动三年ROE中位24.9%(首签年16.0%),34.0
000908,2013,2014,2018,T1 滚动三年ROE中位20.6%(首签年-197.8%),26.4
600201,2005,2014,2025,T1 滚动三年ROE中位21.4%(首签年7.6%),19.0
000607,2003,2014,2017,T1 滚动三年ROE中位22.4%(首签年16.6%),18.3
002104,2013,2014,2017,T1 滚动三年ROE中位22.7%(首签年17.2%),18.2
300202,2012,2014,2020,T1 滚动三年ROE中位29.5%(首签年19.3%),11.3
600795,2002,2015,2025,T2 营收15.9倍·毛利率30.9%≥首签28.4%,1946.7
600688,2002,2015,2024,T2 营收3.6倍·毛利率25.6%≥首签16.0%,1155.4
601933,2010,2015,2020,T2 营收3.4倍·毛利率19.8%≥首签19.1%,932.0
002060,2006,2015,2025,T2 营收3.3倍·毛利率12.5%≥首签11.4%,825.7
000626,2003,2015,2022,T1 滚动三年ROE中位38.3%(首签年15.7%),820.1
002157,2008,2015,2020,T2 营收6.1倍·毛利率9.3%≥首签7.0%,491.7
600196,2006,2015,2025,T2 营收3.1倍·毛利率50.0%≥首签21.7%,439.5
002091,2006,2015,2025,T2 营收8.8倍·毛利率10.2%≥首签9.2%,428.3
002608,2011,2015,2025,T2 营收5.9倍·毛利率27.5%≥首签12.6%,369.3
002589,2011,2015,2021,T2 营收3.1倍·毛利率11.0%≥首签8.2%,339.2
002385,2010,2015,2024,T2 营收3.1倍·毛利率24.3%≥首签22.9%,324.0
002736,2014,2015,2025,T1 滚动三年ROE中位21.3%(首签年10.6%),291.4
000046,2007,2015,2019,T2 营收3.3倍·毛利率48.2%≥首签40.9%,246.7
002640,2014,2015,2018,T2 营收4.7倍·毛利率55.6%≥首签52.5%,215.3
002179,2008,2015,2025,T2 营收4.4倍·毛利率33.7%≥首签33.0%,213.9
002400,2010,2015,2025,T2 营收3.1倍·毛利率18.0%≥首签10.1%,213.5
002131,2008,2015,2025,T2 营收4.2倍·毛利率23.0%≥首签20.1%,204.7
600663,2003,2015,2025,T2 营收3.3倍·毛利率54.3%≥首签42.0%,181.7
000501,2009,2015,2025,T1 滚动三年ROE中位20.4%(首签年15.4%),181.2
002555,2014,2015,2025,T2 营收7.8倍·毛利率59.3%≥首签42.6%,174.4
002100,2008,2015,2025,T2 营收3.9倍·毛利率21.8%≥首签21.7%,171.8
600580,2011,2015,2025,T2 营收3.0倍·毛利率21.4%≥首签14.3%,162.5
600420,2011,2015,2024,T2 营收5.3倍·毛利率34.9%≥首签31.1%,139.4
002051,2006,2015,2025,T2 营收7.2倍·毛利率21.0%≥首签17.8%,135.2
600828,2011,2015,2024,T2 营收3.1倍·毛利率26.1%≥首签23.1%,131.1
002249,2008,2015,2025,T2 营收3.1倍·毛利率21.8%≥首签16.7%,122.2
002062,2006,2015,2023,T2 营收3.1倍·毛利率12.2%≥首签7.8%,119.4
002572,2011,2015,2025,T2 营收3.2倍·毛利率37.8%≥首签33.6%,116.7
002508,2010,2015,2025,T2 营收3.7倍·毛利率58.2%≥首签54.6%,112.1
600236,2002,2015,2025,T1 滚动三年ROE中位20.3%(首签年10.1%)｜T2 营收16.2倍·毛利率58.7%≥首签57.3%,106.2
002624,2013,2015,2025,T2 营收4.9倍·毛利率63.0%≥首签49.2%,102.2
600521,2006,2015,2025,T2 营收6.2倍·毛利率49.2%≥首签48.4%,95.5
300146,2011,2015,2025,T2 营收3.4倍·毛利率66.3%≥首签64.2%,94.1
002411,2011,2015,2019,T1 滚动三年ROE中位25.2%(首签年8.4%),93.3
000957,2014,2015,2019,T1 滚动三年ROE中位28.1%(首签年14.1%),92.6
002367,2010,2015,2025,T2 营收3.0倍·毛利率36.3%≥首签26.8%,50.4
600074,2014,2015,2018,T1 滚动三年ROE中位54.0%(首签年--),41.1
300071,2011,2015,2016,T2 营收3.2倍·毛利率17.8%≥首签10.4%,34.5
600867,2008,2015,2025,T2 营收3.0倍·毛利率75.3%≥首签52.4%,32.7
002568,2014,2015,2025,T1 滚动三年ROE中位32.8%(首签年12.1%),32.6
600054,2004,2015,2025,T2 营收3.1倍·毛利率49.9%≥首签47.4%,21.1
600674,2009,2015,2025,T1 滚动三年ROE中位22.7%(首签年9.1%),16.7
002680,2014,2015,2017,T1 滚动三年ROE中位22.2%(首签年15.7%),15.5
