security_code,security_name,quality_tier,n_fwd3,spearman_fwd3,fair_pv_fwd3,median_pv,share_below_buy
603323,,NA,55,-0.783,1.019,1.430,0.054
603369,今世缘,L2,52,-0.140,1.603,2.371,0.056
603392,,NA,15,0.421,,2.595,0.000
603501,豪威集团,L2,15,-0.921,,2.732,0.000
603505,金石资源,L1,28,-0.937,4.052,4.253,0.000
603508,思维列控,L2,15,0.314,,1.358,0.096
603529,爱玛科技,L2,3,,,1.407,0.125
603556,海兴电力,L2,0,,,1.320,0.000
603605,珀莱雅,L2,28,0.213,,3.473,0.000
603606,东方电缆,L3,28,-0.611,1.910,2.476,0.000
603806,福斯特,L2,87,-0.835,2.813,1.939,0.000
603868,,NA,75,-0.884,2.433,2.875,0.000
603899,,NA,87,-0.117,3.406,3.717,0.000
603993,洛阳钼业,L2,52,-0.755,4.563,1.555,0.225
605305,中际联合,L2,15,-0.539,,1.335,0.000
605499,东鹏饮料,L2,25,-0.366,6.777,3.785,0.000
688008,澜起科技,L1,28,-0.743,4.669,4.291,0.000
688012,中微公司,L2,3,,,3.632,0.000
688018,乐鑫科技,L2,0,,,5.587,0.000
688019,安集科技,L2,3,,,3.475,0.000
688041,海光信息,L2,0,,,9.839,0.000
688072,拓荆科技,L2,0,,,9.271,0.000
688082,盛美上海,L2,3,,,3.377,0.000
688100,威胜信息,L2,0,,,1.833,0.000
688111,金山办公,L1,15,-0.961,,7.161,0.000
688120,华海清科,L1,0,,,2.844,0.000
688122,西部超导,L1,3,,,2.325,0.000
688188,柏楚电子,L2,15,-0.700,,3.074,0.000
688190,云路股份,L2,0,,,2.168,0.000
688200,华峰测控,L2,15,-0.375,,2.654,0.000
688208,道通科技,L2,0,,,2.603,0.000
688235,百济神州,L2,0,,,5.157,0.000
688256,寒武纪,L2,0,,,19.091,0.000
688271,联影医疗,L2,0,,,2.978,0.000
688278,特宝生物,L2,15,-0.071,,5.049,0.000
688281,华秦科技,L3,0,,,2.411,0.000
688300,联瑞新材,L2,0,,,3.883,0.000
688301,奕瑞科技,L2,3,,,2.355,0.000
688516,奥特维,L2,3,,,1.329,0.200
688563,航材股份,L3,0,,,1.538,0.000
688617,惠泰医疗,L2,3,,,4.489,0.000
688630,芯碁微装,L2,0,,,5.865,0.000
688692,达梦数据,L2,0,,,4.324,0.000
688708,佳驰科技,L2,0,,,2.119,0.000
688775,影石创新,L3,0,,,3.759,0.000
688777,中控技术,L3,3,,,2.384,0.000
688981,中芯国际,L3,15,-0.375,,8.389,0.000
689009,九号公司,L2,0,,,2.962,0.000
920394,民士达,L2,0,,,3.940,0.000
920982,锦波生物,L2,0,,,7.555,0.000
