security_code,security_name,quality_tier,industry,industry_n,fy_years,roe_median,roe_min,roe_years_ge15,roe_latest_fy,roe_2026h1,roe_pctl_median,roe_pctl_min,roe_pctl_years_ge80,gm_first5_avg,gm_last5_avg,gm_latest_fy,rev_cagr,ni_cagr,ni_negative_years,ocf_to_ni_median,roe_series,pctl_series
600085,同仁堂,L2,制造业,3511,11,12.51,8.86,0,8.86,5.22,57.0,48.0,2,46.3,46.1,42.874214458,4.7,3.1,0,1.7,2015:13.3 2016:12.5 2017:12.6 2018:12.8 2019:10.3 2020:10.8 2021:12.0 2022:12.7 2023:13.4 2024:11.5 2025:8.9,58 53 54 57 48 50 57 70 82 81 73
600132,重庆啤酒,L2,制造业,3511,11,45.55,-5.47,10,81.68,47.54,97.0,6.0,9,41.3,50.0,50.8754981865,16.0,,1,2.49,2015:-5.5 2016:15.4 2017:28.3 2018:28.6 2019:43.7 2020:45.5 2021:99.7 2022:69.2 2023:67.0 2024:60.2 2025:81.7,6 63 89 88 97 96 100 100 100 100 100
600160,巨化股份,L1,制造业,3511,11,8.48,0.75,3,19.57,12.15,42.0,12.0,2,16.2,18.4,28.2328251386,11.0,37.1,0,1.66,2015:2.2 2016:1.9 2017:8.5 2018:18.1 2019:7.0 2020:0.8 2021:8.6 2022:16.6 2023:6.0 2024:11.5 2025:19.6,17 13 38 72 35 12 42 80 50 81 95
600176,中国巨石,L2,制造业,3511,11,14.84,8.37,5,10.62,9.06,74.0,61.0,3,42.3,33.4,33.1183386488,10.3,12.8,0,1.28,2015:22.1 2016:14.8 2017:18.4 2018:18.0 2019:14.3 2020:14.7 2021:30.1 2022:26.5 2023:10.9 2024:8.4 2025:10.6,80 61 74 71 61 63 93 94 74 68 79
600183,生益科技,L2,制造业,3511,11,16.39,8.57,7,21.25,18.17,73.0,55.0,3,21.9,23.3,26.4727016039,14.1,19.9,0,1.34,2015:12.3 2016:15.7 2017:20.1 2018:16.4 2019:19.7 2020:18.3 2021:24.3 2022:11.7 2023:8.6 2024:12.2 2025:21.2,55 64 78 68 76 73 87 66 64 83 96
600233,圆通速递,L3,交通运输、仓储和邮政业,75,11,13.74,11.16,5,13.0,8.72,87.0,75.0,8,12.8,9.7,9.5153889598,20.1,19.7,0,1.78,2015:25.1 2016:27.8 2017:16.6 2018:18.9 2019:13.7 2020:11.2 2021:11.7 2022:15.9 2023:13.4 2024:13.3 2025:13.0,88 90 87 89 78 80 75 80 89 85 87
600276,恒瑞医药,L2,制造业,3511,11,22.51,10.89,6,14.26,8.04,83.0,63.0,8,86.6,85.2,86.2069669933,13.0,13.5,0,1.03,2015:24.4 2016:23.2 2017:23.3 2018:23.6 2019:24.0 2020:22.5 2021:14.0 2022:10.9 2023:11.0 2024:14.7 2025:14.3,84 81 83 83 84 82 64 63 75 89 89
600285,羚锐制药,L2,制造业,3511,11,15.92,8.07,6,23.9,13.96,67.0,39.0,4,71.4,75.1,80.0292230654,13.5,19.1,0,1.42,2015:8.1 2016:16.7 2017:10.2 2018:11.3 2019:13.5 2020:14.3 2021:15.9 2022:19.3 2023:21.3 2024:24.8 2025:23.9,39 67 45 52 58 62 70 85 94 97 97
600298,安琪酵母,L2,制造业,3511,11,16.47,9.55,7,13.51,7.06,81.0,44.0,6,34.3,24.9,24.7064014578,14.8,18.6,0,1.34,2015:9.6 2016:16.5 2017:24.0 2018:21.1 2019:19.4 2020:25.1 2021:20.5 2022:16.5 2023:13.1 2024:12.8 2025:13.5,44 66 84 79 75 86 81 80 81 84 87
600309,万华化学,L2,制造业,3511,11,22.75,12.44,8,12.44,8.96,88.0,63.0,10,32.9,17.9,13.6123438379,26.4,22.8,0,2.24,2015:14.7 2016:28.1 2017:85.9 2018:50.8 2019:25.4 2020:22.2 2021:42.5 2022:22.8 2023:20.4 2024:14.3 2025:12.4,63 88 99 98 86 81 98 90 93 88 85
600406,国电南瑞,L1,信息传输、软件和信息技术服务业,156,11,16.04,14.03,9,16.26,5.73,63.0,43.0,4,27.5,26.6,25.83709383,21.2,20.3,0,1.39,2015:14.0 2016:16.1 2017:16.4 2018:16.9 2019:14.8 2020:15.1 2021:15.7 2022:16.1 2023:16.0 2024:15.8 2025:16.3,43 50 55 62 55 63 74 87 93 95 96
600415,小商品城,L1,租赁和商务服务业,27,11,10.04,6.88,3,17.53,8.28,48.0,36.0,3,44.9,27.6,31.444415694,13.3,19.8,0,1.2,2015:7.6 2016:10.8 2017:13.7 2018:9.4 2019:10.0 2020:6.9 2021:9.4 2022:7.3 2023:16.1 2024:16.1 2025:17.5,36 48 62 48 41 41 38 37 85 93 96
600426,华鲁恒升,L2,制造业,3511,11,13.05,10.32,4,10.32,6.87,78.0,49.0,5,23.7,24.6,19.1553319586,13.6,13.9,0,1.31,2015:13.0 2016:11.3 2017:14.0 2018:28.3 2019:18.6 2020:12.1 2021:38.6 2022:25.6 2023:12.8 2024:13.1 2025:10.3,57 49 60 88 74 55 97 93 80 85 78
600436,片仔癀,L1,制造业,3511,11,22.64,14.84,10,14.84,7.26,85.0,65.0,8,45.2,44.5,36.4265940707,16.9,16.6,0,0.73,2015:15.4 2016:16.2 2017:21.2 2018:25.0 2019:23.6 2020:23.1 2021:27.7 2022:23.5 2023:22.6 2024:21.4 2025:14.8,65 65 80 85 83 83 91 91 95 96 90
600486,扬农化工,L2,制造业,3511,11,17.26,11.69,8,11.69,6.69,82.0,56.0,7,26.8,23.9,21.9921030936,14.3,10.9,0,1.37,2015:15.5 2016:13.4 2017:17.1 2018:24.5 2019:25.5 2020:22.2 2021:19.1 2022:23.2 2023:17.3 2024:11.9 2025:11.7,65 56 70 84 86 81 79 91 90 82 83
600519,贵州茅台,L1,制造业,3511,11,32.53,24.44,11,32.53,16.75,93.0,84.0,11,91.1,91.7,91.1795516835,17.8,18.2,0,1.1,2015:26.2 2016:24.4 2017:33.0 2018:34.5 2019:33.1 2020:31.4 2021:29.9 2022:30.3 2023:34.2 2024:36.0 2025:32.5,86 84 92 93 93 92 93 95 99 99 99
600563,法拉电子,L2,制造业,3511,11,20.46,17.87,11,21.49,9.6,78.0,72.0,5,42.2,36.9,32.1196213315,14.4,13.8,0,1.09,2015:17.9 2016:19.5 2017:19.6 2018:19.5 2019:18.2 2020:20.5 2021:26.7 2022:27.2 2023:23.7 2024:21.1 2025:21.5,72 73 76 75 73 78 90 94 96 96 96
600570,恒生电子,L2,信息传输、软件和信息技术服务业,156,11,19.27,0.77,8,13.33,2.65,89.0,6.0,7,95.7,72.9,71.0643115521,10.0,10.5,0,1.05,2015:21.0 2016:0.8 2017:17.5 2018:19.8 2019:37.2 2020:31.6 2021:30.1 2022:17.4 2023:19.3 2024:12.5 2025:13.3,62 6 62 69 89 90 86 90 95 91 93
600600,青岛啤酒,L2,制造业,3511,11,11.13,6.43,4,15.5,12.02,51.0,31.0,3,39.3,38.9,41.8444162479,1.6,10.4,0,1.83,2015:10.8 2016:6.4 2017:7.5 2018:8.1 2019:10.0 2020:11.1 2021:14.5 2022:15.3 2023:16.1 2024:15.4 2025:15.5,49 31 34 40 46 51 66 77 88 90 91
600660,福耀玻璃,L1,制造业,3511,11,18.62,12.06,8,25.56,10.34,74.0,55.0,4,41.7,35.8,37.2700118169,12.9,13.6,0,1.35,2015:18.9 2016:18.6 2017:17.2 2018:20.8 2019:14.1 2020:12.1 2021:13.0 2022:17.6 2023:19.0 2024:22.7 2025:25.6,74 72 71 78 61 55 60 82 92 96 98
600690,海尔智家,L2,制造业,3511,11,17.61,16.22,11,16.98,8.36,78.0,67.0,5,29.8,28.9,26.6607862338,12.9,16.3,0,1.57,2015:16.2 2016:20.4 2017:22.9 2018:20.9 2019:19.1 2020:17.7 2021:17.3 2022:16.8 2023:17.2 2024:17.6 2025:17.0,67 75 83 78 75 71 74 81 90 93 93
600750,华润江中,L2,制造业,3511,11,15.25,12.52,7,22.75,11.51,65.0,57.0,3,65.0,64.3,65.3684072034,5.0,9.5,0,1.45,2015:16.6 2016:15.3 2017:15.1 2018:15.2 2019:13.6 2020:12.7 2021:12.5 2022:14.5 2023:17.7 2024:19.6 2025:22.8,68 63 64 65 59 57 59 75 90 94 97
600803,新奥股份,L2,电力、热力、燃气及水生产和供应业,86,11,18.36,11.65,9,19.35,8.18,88.0,74.0,8,24.4,14.9,13.9177084604,37.0,19.2,0,2.55,2015:17.8 2016:11.7 2017:12.9 2018:17.3 2019:18.4 2020:16.7 2021:31.1 2022:33.4 2023:34.4 2024:19.1 2025:19.4,78 74 75 87 88 88 99 99 99 95 99
600809,山西汾酒,L1,制造业,3511,11,33.48,12.52,9,33.48,15.02,94.0,56.0,8,69.1,75.3,74.8525045655,25.1,37.1,0,0.97,2015:12.5 2016:13.2 2017:18.7 2018:24.8 2019:27.4 2020:35.1 2021:42.0 2022:44.7 2023:43.1 2024:39.7 2025:33.5,56 56 75 84 88 94 98 98 99 99 99
600862,中航高科,L1,制造业,3511,11,12.74,2.22,2,13.94,5.47,59.0,13.0,3,27.4,34.8,37.5990047343,9.7,21.7,0,0.65,2015:9.4 2016:2.2 2017:2.4 2018:8.3 2019:13.8 2020:10.1 2021:12.7 2022:14.9 2023:17.7 2024:17.2 2025:13.9,44 14 13 40 59 47 59 76 90 92 88
600885,宏发股份,L2,制造业,3511,11,17.44,15.21,11,17.23,8.82,73.0,64.0,4,38.4,35.4,34.3196864744,15.0,14.0,0,1.45,2015:16.6 2016:18.1 2017:17.9 2018:16.8 2019:15.2 2020:16.0 2021:18.2 2022:17.9 2023:17.4 2024:18.3 2025:17.2,68 71 73 69 64 67 77 83 90 93 93
600887,伊利股份,L2,制造业,3511,11,24.33,15.81,11,20.87,10.09,86.0,83.0,11,37.3,32.8,34.5760035733,6.7,9.6,0,1.42,2015:23.9 2016:26.6 2017:25.2 2018:24.3 2019:26.4 2020:25.2 2021:25.6 2022:19.2 2023:20.2 2024:15.8 2025:20.9,83 86 85 84 87 86 89 85 93 90 96
600900,长江电力,L1,电力、热力、燃气及水生产和供应业,86,11,15.71,9.32,7,15.9,6.55,85.0,53.0,9,61.8,59.6,61.6684875716,6.2,6.6,0,1.78,2015:15.6 2016:16.9 2017:16.9 2018:16.3 2019:14.8 2020:16.7 2021:14.9 2022:9.3 2023:13.5 2024:15.7 2025:15.9,73 81 85 84 80 90 86 53 87 92 92
