date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2012-10-12,002024,买入,17200,6.840,117648,0.8700,8.046,定投加仓,
2012-10-12,600897,买入,9400,12.540,117876,0.9399,13.310,定投加仓,
2012-10-12,600309,买入,8200,14.320,117424,1.0180,13.968,定投加仓,万华化学
2012-10-15,600897,卖出,18800,12.360,232368,,,跌破建仓日MA60止损,
2012-10-15,600585,买入,7300,15.990,116727,0.6326,25.278,定投加仓,
2012-10-15,002024,买入,17300,6.820,117986,0.8501,8.046,定投加仓,
2012-10-15,600309,买入,8300,14.110,117113,1.0252,13.968,定投加仓,万华化学
2012-10-16,600585,买入,7300,15.910,116143,0.6326,25.278,定投加仓,
2012-10-16,002024,买入,4800,6.810,32688,0.8476,8.046,定投加仓,
2012-10-18,600585,买入,3400,16.550,56270,0.6385,25.278,定投加仓,
2012-10-19,600585,买入,700,16.880,11816,0.6547,25.278,定投加仓,
2012-10-19,601939,买入,100,4.160,416,1.0227,4.097,首次建仓,建设银行
2012-10-22,600585,买入,500,16.910,8455,0.6678,25.278,定投加仓,
2012-10-22,002024,买入,200,7.180,1436,0.8725,8.046,定投加仓,
2012-10-24,600309,卖出,8500,13.760,116960,,,换仓·减一档：让位给601088,万华化学
2012-10-24,600585,买入,3000,16.230,48690,0.6425,25.278,定投加仓,
2012-10-24,601939,买入,100,4.160,416,1.0178,4.097,定投加仓,建设银行
2012-10-25,600309,卖出,8500,13.600,115600,,,换仓·减一档：让位给601088,万华化学
2012-10-25,600585,买入,6000,16.100,96600,0.8606,18.860,定投加仓,
2012-10-25,002024,买入,100,6.940,694,0.8750,8.046,定投加仓,
2012-10-25,601939,买入,100,4.160,416,1.0154,4.097,定投加仓,建设银行
2012-10-29,002024,卖出,16400,6.930,113652,,,换仓·减一档：让位给601088（同日对冲 100 股）,
2012-10-29,600309,买入,6200,13.630,84506,0.8237,16.402,定投加仓,万华化学
2012-10-30,600309,买入,1500,13.690,20535,0.8310,16.402,定投加仓,万华化学
2012-10-30,002024,买入,100,6.680,668,0.8613,8.046,定投加仓,
2012-10-30,601939,买入,100,4.130,413,1.0080,4.097,定投加仓,建设银行
2012-10-31,002024,买入,16300,6.740,109862,0.7586,8.806,定投加仓,
2012-11-01,002024,买入,8900,6.980,62122,0.7654,8.806,定投加仓,
2012-11-05,600309,卖出,9200,13.750,126500,,,换仓·减一档：让位给601088,万华化学
2012-11-05,000338,买入,4900,21.330,104517,0.7736,27.274,首次建仓,潍柴动力
2012-11-05,002024,买入,200,6.840,1368,0.7870,8.806,定投加仓,
2012-11-12,600309,卖出,22800,13.140,299592,,,跌破建仓日MA60止损,万华化学
2012-11-12,000338,买入,5700,20.780,118446,0.7454,27.274,定投加仓,潍柴动力
2012-11-12,002024,买入,9300,6.650,61845,0.7643,8.806,定投加仓,
2012-11-12,601939,买入,100,4.310,431,1.0708,4.006,定投加仓,建设银行
2012-11-13,002024,卖出,91500,6.370,582855,,,跌破建仓日MA60止损,
2012-11-13,000338,买入,5600,20.520,114912,0.7619,27.274,定投加仓,潍柴动力
2012-11-13,600585,买入,7400,15.530,114922,0.8298,18.860,定投加仓,
2012-11-13,600897,买入,9100,12.610,114751,0.9188,13.898,首次建仓,
2012-11-14,600897,卖出,9100,12.520,113932,,,跌破建仓日MA60止损,
2012-11-14,000338,买入,5600,20.880,116928,0.7524,27.274,定投加仓,潍柴动力
2012-11-14,600585,买入,3600,15.680,56448,0.8235,18.860,定投加仓,
2012-11-15,000338,买入,5700,20.470,116679,0.7656,27.274,定投加仓,潍柴动力
