group,bp,arm,start,cagr,cagr_delta,mdd,mdd_delta
full,30,BASE,2009-11-01,0.3483308210460965,0.0,0.49247126176887746,0.0
full,30,BASE,2011-11-01,0.40595553845569654,0.0,0.47752546039876853,0.0
full,30,P24,2009-11-01,0.3024282396821494,-0.04590258136394709,0.4138289441227405,-0.07864231764613694
full,30,P24,2011-11-01,0.3496379707088211,-0.05631756774687546,0.42669578398958796,-0.05082967640918057
full,30,V30,2009-11-01,0.23677194138582047,-0.111558879660276,0.38926457788169355,-0.1032066838871839
full,30,V30,2011-11-01,0.2434598615518837,-0.16249567690381284,0.384564973846929,-0.09296048655183953
A,30,BASE,2009-11-01,0.4026425841186039,0.0,0.4939637769668733,0.0
A,30,BASE,2011-11-01,0.4584413023088878,0.0,0.5040171552057712,0.0
A,30,P24,2009-11-01,0.3368843019235257,-0.06575828219507818,0.46964205937325454,-0.024321717593618786
A,30,P24,2011-11-01,0.38092134557112733,-0.07751995673776046,0.4882949054864655,-0.015722249719305692
A,30,V30,2009-11-01,0.2573011995704144,-0.14534138454818946,0.4211604560008183,-0.07280332096605502
A,30,V30,2011-11-01,0.2847613268663485,-0.17367997544253932,0.42090715535308165,-0.08310999985268952
