group,arm,start,rank,peak,trough,drawdown,recovery,peak_to_recovery_calendar_days
full,V25,2009-11-01,1,2020-02-17,2020-03-23,0.32216340993304526,2020-07-09,143
full,V25,2009-11-01,2,2024-05-29,2024-09-11,0.3134142814942902,2025-09-05,464
full,V25,2009-11-01,3,2011-07-13,2012-09-26,0.30325235750295687,2014-07-28,1111
full,V25,2010-05-01,1,2024-05-29,2024-09-11,0.33465912719736224,2025-10-09,498
full,V25,2010-05-01,2,2020-02-17,2020-03-23,0.3220930102111249,2020-07-09,143
full,V25,2010-05-01,3,2011-07-13,2012-09-26,0.3011478967512189,2014-11-12,1218
full,V25,2010-11-01,1,2011-07-13,2012-09-26,0.35574121885063703,2014-11-25,1231
full,V25,2010-11-01,2,2024-05-29,2024-09-11,0.3422648227731655,2025-10-09,498
full,V25,2010-11-01,3,2020-02-17,2020-03-23,0.32247353368238907,2020-07-09,143
full,V25,2011-05-01,1,2024-05-29,2024-09-11,0.34275202394189463,2025-10-09,498
full,V25,2011-05-01,2,2020-02-17,2020-03-23,0.3335146020638361,2020-07-14,148
full,V25,2011-05-01,3,2011-05-20,2012-09-26,0.2853106393409809,2013-02-08,630
full,V25,2011-11-01,1,2024-05-29,2024-09-11,0.3467356912576328,2025-10-09,498
full,V25,2011-11-01,2,2020-02-17,2020-03-23,0.318308330241012,2020-07-09,143
full,V25,2011-11-01,3,2021-09-22,2021-11-16,0.2853263168518688,2022-02-10,141
full,V25,2012-05-01,1,2013-02-08,2014-03-27,0.3531931699061579,2014-12-04,664
full,V25,2012-05-01,2,2024-05-29,2024-09-11,0.33094167322351087,2025-09-15,474
full,V25,2012-05-01,3,2020-02-17,2020-03-23,0.3246960462263839,2020-07-09,143
full,V25,2012-11-01,1,2020-02-17,2020-03-23,0.33344379602715246,2020-07-14,148
full,V25,2012-11-01,2,2013-02-08,2014-03-27,0.3333099617033297,2014-12-03,663
full,V25,2012-11-01,3,2024-05-29,2024-09-11,0.33321966713599493,2025-09-15,474
full,V25,2013-05-01,1,2024-05-29,2024-09-11,0.36727469735863216,2025-10-09,498
full,V25,2013-05-01,2,2020-02-17,2020-03-23,0.3245355723073132,2020-07-09,143
full,V25,2013-05-01,3,2021-09-22,2021-11-16,0.28460670609491023,2022-02-10,141
full,V25,2013-11-01,1,2024-05-29,2024-09-11,0.3475093237937251,2025-10-09,498
full,V25,2013-11-01,2,2020-02-17,2020-03-23,0.33357738334768405,2020-07-14,148
full,V25,2013-11-01,3,2021-09-22,2021-11-16,0.28460665700814103,2022-02-10,141
full,V25,2014-05-01,1,2020-02-17,2020-03-23,0.33353415527795127,2020-07-20,154
full,V25,2014-05-01,2,2024-05-29,2024-09-11,0.3323305651636643,2025-09-15,474
full,V25,2014-05-01,3,2021-09-22,2021-11-16,0.3000823812917106,2022-03-31,190
full,V25,2014-11-01,1,2015-06-09,2016-05-18,0.3864520946954123,2017-03-20,650
full,V25,2014-11-01,2,2024-05-29,2024-09-11,0.32941453980231683,2024-11-07,162
full,V25,2014-11-01,3,2020-02-17,2020-03-23,0.3249151558587634,2020-07-09,143
full,V25,2015-05-01,1,2015-12-25,2016-05-18,0.3614090445243363,2017-02-22,425
full,V25,2015-05-01,2,2024-05-29,2024-09-11,0.35294950789417845,2025-10-09,498
full,V25,2015-05-01,3,2020-02-17,2020-03-23,0.3313094762809904,2020-07-09,143
full,V25,2015-11-01,1,2024-05-29,2024-09-11,0.36486390524406087,2025-10-09,498
full,V25,2015-11-01,2,2015-12-25,2016-05-18,0.36446181353052354,2017-02-22,425
full,V25,2015-11-01,3,2020-02-17,2020-03-23,0.32854821367395326,2020-07-09,143
full,V25,2016-05-01,1,2024-05-29,2024-09-11,0.3352512254261051,2025-09-12,471
full,V25,2016-05-01,2,2020-02-17,2020-03-23,0.31230439732990467,2020-07-09,143
full,V25,2016-05-01,3,2021-09-22,2021-11-16,0.302268516973327,2022-03-03,162
full,V30,2009-11-01,1,2024-05-29,2024-09-11,0.3740094659024694,2025-10-09,498
full,V30,2009-11-01,2,2011-07-13,2014-03-20,0.35890377139413143,2014-12-03,1239
full,V30,2009-11-01,3,2020-02-17,2020-03-23,0.34290606420564107,2020-07-20,154
full,V30,2010-05-01,1,2024-05-29,2024-09-11,0.36384820732585665,2025-10-09,498
full,V30,2010-05-01,2,2011-07-13,2014-02-27,0.3588116326723473,2014-12-03,1239
full,V30,2010-05-01,3,2020-02-17,2020-03-23,0.3392653898071649,2020-07-20,154
full,V30,2010-11-01,1,2011-07-13,2014-03-20,0.40498844488004304,2014-12-04,1240
full,V30,2010-11-01,2,2024-05-29,2024-09-11,0.3639700683494086,2025-10-09,498
full,V30,2010-11-01,3,2020-02-17,2020-03-23,0.3421729334668746,2020-07-20,154
full,V30,2011-05-01,1,2024-05-29,2024-09-11,0.36428362846068074,2025-09-11,470
full,V30,2011-05-01,2,2020-02-17,2020-03-23,0.33958406097439475,2020-07-20,154
full,V30,2011-05-01,3,2011-05-20,2014-03-20,0.3346773434175129,2014-12-02,1292
full,V30,2011-11-01,1,2024-05-29,2024-09-11,0.361246692743055,2025-10-09,498
full,V30,2011-11-01,2,2020-02-17,2020-03-23,0.3393704119501135,2020-07-20,154
full,V30,2011-11-01,3,2013-02-08,2014-03-20,0.33550542232739966,2014-12-02,662
full,V30,2012-05-01,1,2024-05-29,2024-09-11,0.3666439293271775,2025-10-09,498
full,V30,2012-05-01,2,2020-02-17,2020-03-23,0.3394028928985371,2020-07-20,154
full,V30,2012-05-01,3,2013-02-08,2014-02-27,0.3303230245346106,2014-12-01,661
full,V30,2012-11-01,1,2024-05-29,2024-09-11,0.3788156474743287,2025-10-09,498
full,V30,2012-11-01,2,2020-02-17,2020-03-23,0.3392506929817296,2020-07-20,154
full,V30,2012-11-01,3,2013-02-08,2014-03-20,0.3373265460726911,2014-12-01,661
full,V30,2013-05-01,1,2024-05-29,2024-09-11,0.36055121823497105,2025-09-15,474
full,V30,2013-05-01,2,2020-02-17,2020-03-23,0.34284021582252333,2020-07-20,154
full,V30,2013-05-01,3,2026-03-12,2026-06-30,0.3047239950993281,,
full,V30,2013-11-01,1,2024-05-29,2024-09-11,0.37646491781967995,2025-10-09,498
full,V30,2013-11-01,2,2020-02-17,2020-03-23,0.3392563866960543,2020-07-20,154
full,V30,2013-11-01,3,2026-03-12,2026-06-30,0.2912256566977818,,
full,V30,2014-05-01,1,2024-05-29,2024-09-11,0.3815552106770844,2025-10-09,498
full,V30,2014-05-01,2,2020-02-17,2020-03-23,0.33921252808586355,2020-07-20,154
full,V30,2014-05-01,3,2026-03-12,2026-06-30,0.30650688569537776,,
full,V30,2014-11-01,1,2024-05-29,2024-09-11,0.3604815761330311,2025-09-12,471
full,V30,2014-11-01,2,2020-02-17,2020-03-23,0.34178988775207,2020-07-20,154
full,V30,2014-11-01,3,2015-06-09,2016-01-28,0.3134445326904204,2016-11-28,538
full,V30,2015-05-01,1,2015-12-25,2016-05-18,0.3614090445243363,2017-02-10,413
full,V30,2015-05-01,2,2024-05-29,2024-09-11,0.36060835027906546,2025-10-09,498
full,V30,2015-05-01,3,2020-02-17,2020-03-23,0.339793905427067,2020-07-20,154
full,V30,2015-11-01,1,2024-05-29,2024-09-11,0.37016981165718843,2025-10-09,498
full,V30,2015-11-01,2,2015-12-25,2016-05-18,0.36446181353052354,2017-02-10,413
full,V30,2015-11-01,3,2020-02-17,2020-03-23,0.339946636526855,2020-07-20,154
full,V30,2016-05-01,1,2024-05-29,2024-09-11,0.3744193645591176,2025-10-09,498
