trade_date,security_code,security_name,exchange,quality_tier,quality_tier_label,quality_score,pool_layer,valuation_tier,valuation_tier_effective,valuation_tier_changed,fair_price_low,fair_price_high,band_position,margin_of_safety,model_intrinsic_value,model_band_source,model_pv,strategy_tag,total_market_cap_bn,signal_state,review_frozen,note,gap_trading_days,gap_return,gap_max_vol_ratio,gap_max_vol_day,close,high,low,pct_chg,amount,ma20,ma60,amount_ma20,data_source,screened_at_utc
2026-08-21,000651,格力电器,SZSE,L2,L2,71.3,core,低估,低估,False,76.25,93.20,低于带底-46%,1.0544,84.7273,模型带·2026-03-31,0.4867,A-现金流复利型,231.0020,ok,False,,,,,,41.24,41.73,41.24,-0.4346,1793144068.0,40.761,39.2973,1940159323.45,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000651,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:37+00:00
2026-08-21,600690,海尔智家,SSE,L2,L2,74.2,core,低估,低估,False,28.45,34.77,低于带底-27%,0.5153,31.6068,模型带·2026-03-31,0.66,A-现金流复利型,195.6170,ok,False,,,,,,20.86,21.16,20.74,-0.1914,823200266.0,21.3135,20.2545,929258440.95,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600690,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:39+00:00
2026-08-21,000895,双汇发展,SZSE,L2,L2,70.1,core,高估,高估,False,13.23,16.17,越带顶+54%,,14.7031,模型带·2026-03-31,1.6935,K-稳态现金分配型,86.2700,ok,False,,,,,,24.9,25.15,24.8,-0.7177,168909150.0,25.2485,24.3038,332798287.55,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000895,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:37+00:00
2026-08-21,600887,伊利股份,SSE,L2,L2,75.8,core,中性,中性,False,21.44,26.21,带内83%,,23.8269,模型带·2026-03-31,1.066,A-现金流复利型,160.6640,ok,False,,,,,,25.4,25.61,25.26,-0.4702,1100282280.0,26.1665,25.6425,1648021591.8,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600887,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:37+00:00
2026-08-21,301498,乖宝宠物,SZSE,L3,L3,70.2,tactical,高估,高估,False,20.98,25.64,越带顶+50%,,23.3066,模型带·2026-03-31,1.648,C-GARP成长型,15.3820,ok,False,,,,,,38.41,39.2,38.22,-2.2646,130202218.0,41.855,41.075,312543803.1,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz301498,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:38+00:00
2026-08-21,300866,安克创新,SZSE,L2,L2,72.3,core,高估,高估,False,73.71,90.09,越带顶+32%,,81.9039,模型带·2026-03-31,1.4468,C-GARP成长型,69.6840,ok,False,,,,,,118.5,119.69,116.0,2.5264,318054000.0,118.8395,114.12,438925667.45,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300866,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:38+00:00
2026-08-21,603129,春风动力,SSE,L2,L2,71.1,core,高估,高估,False,204.55,250.00,越带顶+24%,,227.273,模型带·2026-06-30,1.3596,C-GARP成长型,47.4280,ok,False,,,,,,309.01,316.96,305.19,-2.3295,393369730.0,299.9565,265.5027,583991195.25,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh603129,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:40+00:00
2026-08-21,605499,东鹏饮料,SSE,L2,L2,76.35,core,较低估,较低估,False,138.60,169.39,低于带底-13%,0.283,153.9952,模型带·2026-06-30,0.7794,C-GARP成长型,88.1260,ok,False,,,,,,120.03,122.4,119.05,-2.4701,690784653.0,127.4205,127.6875,1327016847.5,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh605499,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:40+00:00
2026-08-21,689009,九号公司,SSE,L2,L2,71.2,core,高估,高估,False,21.02,25.69,越带顶+70%,,23.3517,模型带·2026-06-30,1.8671,C-GARP成长型,32.0830,ok,False,,,,,,43.6,44.2,43.09,-0.5928,27858821680.0,42.5965,38.2952,57140237818.35,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh689009,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:40+00:00
2026-08-21,603529,爱玛科技,SSE,L2,L2,70.1,core,低估,低估,False,31.29,38.24,低于带底-32%,0.6345,34.7648,模型带·2026-03-31,0.6118,A-现金流复利型,18.3830,ok,False,,,,,,21.27,21.39,21.13,-0.3747,67160025.0,21.2325,20.7603,118840069.95,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh603529,day,2020-01-01,2026-08-21,1000,qfq",2026-08-23T14:46:42+00:00
