security_code,security_name,quality_tier,report_date,notice_date,available_at,status,reason,eps_ttm,roe_ttm,roe_source,bps,eps0,roe0,roe_anchor,roe_trend,roe0_normalized,roe0_mode,growth_confirmed,roe_window,roe_efficiency,incremental_roe,payout,g_trailing,g_sustainable,g0,g0_capped,r_mode,rf,erp,beta,r,g_terminal,roe_terminal,intrinsic_value,band_low,band_high,mos,max_buy_price,implied_pe,pe_on_ttm_eps,terminal_share,min_payout
000568,泸州老窖,L2,2025-06-30,2025-08-30,2025-08-30,ok,,8.9300,0.2825,weightavg_ttm,31.6183,9.8491,0.3115,0.3115,,0.311500,normalized,,5,0.5709,0.3090,0.5658,0.1228,0.1353,0.1353,,tier,,,,0.1000,0.0300,0.1200,100.4235,90.3812,110.4659,0.20,80.3388,10.20,11.25,0.8168,0.0000
000568,泸州老窖,L2,2025-09-30,2025-10-31,2025-10-31,ok,,8.6000,0.2656,weightavg_ttm,33.7510,10.5134,0.3115,0.3115,,0.311500,normalized,,5,0.5709,0.3090,0.5658,0.0850,0.1353,0.1353,,tier,,,,0.1000,0.0300,0.1200,107.1972,96.4775,117.9169,0.20,85.7578,10.20,12.46,0.8168,0.0000
000568,泸州老窖,L2,2025-12-31,2026-04-29,2026-04-29,ok,,7.3600,0.2266,weightavg_ttm,33.8195,9.5608,0.2827,0.2827,,0.282700,normalized,,9,0.0868,0.1315,0.3663,0.0147,0.1791,0.1791,,tier,,,,0.1000,0.0300,0.1200,106.2171,95.5954,116.8388,0.20,84.9737,11.11,14.43,0.9160,0.0000
000568,泸州老窖,L2,2026-03-31,2026-04-29,2026-04-29,ok,,6.7500,0.2050,weightavg_ttm,35.0548,9.9100,0.2827,0.2827,,0.282700,normalized,,9,0.0868,0.1315,0.3663,-0.0389,0.1791,0.1791,,tier,,,,0.1000,0.0300,0.1200,110.0969,99.0872,121.1066,0.20,88.0775,11.11,16.31,0.9160,0.0000
000596,古井贡酒,L2,2025-03-31,2025-04-28,2025-04-28,ok,,10.9400,0.2394,weightavg_ttm,50.0592,13.3308,0.2663,0.2125,,0.212500,lift2(孰高),,5,0.3001,0.2532,0.5005,0.3082,0.1330,0.1330,,tier,,,,0.1000,0.0300,0.1200,137.7552,123.9797,151.5307,0.20,110.2042,10.33,12.59,0.8376,0.0000
000596,古井贡酒,L2,2025-06-30,2025-08-30,2025-08-30,ok,,10.6100,0.2196,weightavg_ttm,47.6032,10.7916,0.2267,0.2125,,0.212500,lift2(孰高),,5,0.3001,0.2532,0.5005,0.2547,0.1132,0.1132,,tier,,,,0.1000,0.0300,0.1200,110.1733,99.1560,121.1906,0.20,88.1386,10.21,10.38,0.7985,0.0695
000596,古井贡酒,L2,2025-09-30,2025-10-31,2025-10-31,ok,,8.9500,0.1883,weightavg_ttm,48.1679,10.2357,0.2125,0.2125,,0.212500,normalized,,5,0.3001,0.2532,0.5005,0.1703,0.1061,0.1061,,tier,,,,0.1000,0.0300,0.1200,104.3537,93.9183,114.7890,0.20,83.4829,10.20,11.66,0.7763,0.1536
000596,古井贡酒,L2,2025-12-31,2026-04-29,2026-04-29,ok,,6.7100,0.1428,weightavg_ttm,47.3897,10.0703,0.2125,0.2125,,0.212500,normalized,,9,0.1454,0.1403,0.5014,0.0413,0.1060,0.1060,,tier,,,,0.1000,0.0300,0.1200,102.6404,92.3764,112.9045,0.20,82.1124,10.19,15.30,0.7760,0.1536
000596,古井贡酒,L2,2026-03-31,2026-04-29,2026-04-29,ok,,5.3400,0.1137,weightavg_ttm,49.4212,10.5020,0.2125,0.2125,,0.212500,normalized,,9,0.1454,0.1403,0.5014,-0.0787,0.1060,0.1060,,tier,,,,0.1000,0.0300,0.1200,107.0404,96.3363,117.7444,0.20,85.6323,10.19,20.05,0.7760,0.1536
000651,格力电器,L2,2025-03-31,2025-04-28,2025-04-28,ok,,6.0500,0.2570,weightavg_ttm,25.5626,6.5747,0.2572,0.2572,,0.257200,normalized,,9,0.1463,0.3937,0.3416,0.1225,0.1693,0.1693,,tier,,,,0.1000,0.0300,0.1200,72.4952,65.2456,79.7447,0.20,57.9961,11.03,11.98,0.9159,0.0000
000651,格力电器,L2,2025-06-30,2025-08-29,2025-08-29,ok,,5.8700,0.2410,weightavg_ttm,24.1717,6.2170,0.2572,0.2572,,0.257200,normalized,,9,0.1463,0.3937,0.3416,0.0899,0.1693,0.1693,,tier,,,,0.1000,0.0300,0.1200,68.5506,61.6956,75.4057,0.20,54.8405,11.03,11.68,0.9159,0.0000
000651,格力电器,L2,2025-09-30,2025-10-31,2025-10-31,ok,,5.7100,0.2278,weightavg_ttm,25.7836,6.6315,0.2572,0.2572,,0.257200,normalized,,9,0.1463,0.3937,0.3416,0.0720,0.1693,0.1693,,tier,,,,0.1000,0.0300,0.1200,73.1219,65.8097,80.4341,0.20,58.4975,11.03,12.81,0.9159,0.0000
000651,格力电器,L2,2025-12-31,2026-04-29,2026-04-29,ok,,5.2000,0.2030,weightavg_ttm,26.0523,6.3020,0.2419,0.2419,,0.241900,normalized,,5,0.5284,0.1360,0.2663,0.0578,0.1775,0.1775,,tier,,,,0.1000,0.0300,0.1200,70.8168,63.7351,77.8984,0.20,56.6534,11.24,13.62,0.9410,0.0000
000651,格力电器,L2,2026-03-31,2026-04-29,2026-04-29,ok,,5.2200,0.2016,weightavg_ttm,27.1404,6.5653,0.2419,0.2419,,0.241900,normalized,,5,0.5284,0.1360,0.2663,0.0584,0.1775,0.1775,,tier,,,,0.1000,0.0300,0.1200,73.7745,66.3971,81.1520,0.20,59.0196,11.24,14.13,0.9410,0.0000
000786,北新建材,L2,2025-03-31,2025-04-25,2025-04-25,ok,,2.1700,0.1478,weightavg_ttm,15.6886,2.5102,0.1600,0.1600,,0.160000,normalized,,9,0.0272,0.0875,0.3843,0.0108,0.0985,0.0985,,tier,,,,0.1000,0.0300,0.1200,26.9133,24.2220,29.6046,0.20,21.5306,10.72,12.40,0.7150,0.2522
000786,北新建材,L2,2025-06-30,2025-08-19,2025-08-19,ok,,1.9910,0.1321,weightavg_ttm,15.4783,2.4765,0.1600,0.1600,,0.160000,normalized,,9,0.0272,0.0875,0.3843,0.0050,0.0985,0.0985,,tier,,,,0.1000,0.0300,0.1200,26.5525,23.8973,29.2078,0.20,21.2420,10.72,13.34,0.7150,0.2522
000786,北新建材,L2,2025-09-30,2025-10-25,2025-10-25,ok,,1.8280,0.1189,weightavg_ttm,15.7786,2.5246,0.1600,0.1600,,0.160000,normalized,,9,0.0272,0.0875,0.3843,-0.0051,0.0985,0.0985,,tier,,,,0.1000,0.0300,0.1200,27.0677,24.3609,29.7745,0.20,21.6541,10.72,14.81,0.7150,0.2522
000786,北新建材,L2,2025-12-31,2026-03-26,2026-03-26,ok,,1.7170,0.1111,weightavg_ttm,15.9585,2.5534,0.1600,0.1600,,0.160000,normalized,,9,0.2203,-0.0763,0.4000,-0.0259,0.0960,0.0960,,tier,,,,0.1000,0.0300,0.1200,27.2931,24.5638,30.0224,0.20,21.8345,10.69,15.90,0.7097,0.2666
000786,北新建材,L2,2026-03-31,2026-04-29,2026-04-29,ok,,1.6910,0.1080,weightavg_ttm,16.4126,2.6260,0.1600,0.1600,,0.160000,normalized,,9,0.2203,-0.0763,0.4000,-0.0338,0.0960,0.0960,,tier,,,,0.1000,0.0300,0.1200,28.0698,25.2628,30.8767,0.20,22.4558,10.69,16.60,0.7097,0.2666
000792,盐湖股份,L2,2025-03-31,2025-04-24,2025-04-24,ok,,0.9292,0.1411,weightavg_ttm,7.1257,1.9082,0.2678,0.0144,,0.014400,lift2(孰高),,9,0.0579,0.0657,0.0000,-0.1187,0.2678,0.2500,Y,tier,,,,0.1000,0.0300,0.1200,22.6278,20.3651,24.8906,0.20,18.1023,11.86,24.35,1.0000,0.0000
000792,盐湖股份,L2,2025-06-30,2025-08-30,2025-08-30,ok,,0.9384,0.1404,weightavg_ttm,7.3848,1.9673,0.2664,0.0144,,0.014400,lift2(孰高),,9,0.0579,0.0657,0.0000,-0.2446,0.2664,0.2500,Y,tier,,,,0.1000,0.0300,0.1200,23.3035,20.9732,25.6339,0.20,18.6428,11.85,24.83,1.0000,0.0000
000792,盐湖股份,L2,2025-09-30,2025-10-25,2025-10-25,ok,,1.1385,0.1670,weightavg_ttm,7.7594,2.4799,0.3196,0.0144,,0.014400,lift2(孰高),,9,0.0579,0.0657,0.0000,-0.2230,0.3196,0.2500,Y,tier,,,,0.1000,0.0300,0.1200,30.6887,27.6198,33.7575,0.20,24.5509,12.38,26.96,0.9925,0.0000
000792,盐湖股份,L2,2025-12-31,2026-03-31,2026-03-31,ok,,1.6017,0.2230,weightavg_ttm,8.7450,2.7092,0.3098,0.1362,,0.136200,lift2(孰高),,9,0.1981,0.1069,0.0000,-0.1835,0.3098,0.2500,Y,tier,,,,0.1000,0.0300,0.1200,33.4384,30.0946,36.7823,0.20,26.7507,12.34,20.88,0.9993,0.0000
000792,盐湖股份,L2,2026-03-31,2026-04-30,2026-04-30,ok,,1.9492,0.2546,weightavg_ttm,8.4464,3.1505,0.3730,0.1362,,0.136200,lift2(孰高),,9,0.1981,0.1069,0.0000,-0.1031,0.3730,0.2500,Y,tier,,,,0.1000,0.0300,0.1200,39.1622,35.2460,43.0785,0.20,31.3298,12.43,20.09,0.9442,0.0000
