security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
000001,,2024-05-06,2024-11-11,189,6,1,6727.00,7442.50,482.50,0.106362,0.109861,0.120665,9.3730,60,0.6457,0.5344,16.7100,15.8728,17.5472,换仓：让位给空间更大的000792
601838,成都银行,2024-07-30,2024-07-31,1,1,1,796614.00,797160.00,0.00,0.000685,0.000000,0.000000,14.6091,60,0.6950,0.4615,21.3229,20.2546,22.3912,跌破建仓日MA60止损
601229,,2024-07-30,2024-08-06,7,2,1,1116099.00,1100789.00,0.00,-0.013717,0.025745,0.025745,7.2342,60,0.6766,0.5003,10.9373,10.3893,11.4853,跌破建仓日MA60止损
601818,,2024-07-30,2024-09-03,35,4,1,1581.00,1515.00,0.00,-0.041746,0.070552,0.077754,3.0518,60,0.7707,0.2976,4.1134,3.9073,4.3195,跌破建仓日MA60止损
601229,,2024-08-16,2024-08-29,13,2,1,464827.00,447832.00,0.00,-0.036562,0.054616,0.054616,7.2740,60,0.6630,0.4841,11.0859,10.5305,11.6413,跌破建仓日MA60止损
000651,格力电器,2024-09-26,2024-10-29,33,1,1,665700.00,698850.00,0.00,0.049797,0.095340,0.095340,38.2773,60,0.7547,0.2683,56.2878,53.4678,59.1078,换仓：让位给空间更大的000792
601825,,2024-09-26,2024-11-01,36,3,2,887176.00,927230.00,0.00,0.045148,0.056029,0.056029,6.5246,60,0.7571,0.2800,9.0879,8.6326,9.5432,换仓：让位给空间更大的000792
002466,天齐锂业,2024-10-28,2025-04-07,161,14,1,9380450.00,6837453.00,0.00,-0.271095,0.364231,0.372299,29.0313,60,0.3065,2.2482,120.3445,114.3152,126.3738,跌破建仓日MA60止损
002236,,2024-10-29,2024-11-22,24,3,1,4869.00,4929.00,0.00,0.012323,0.096756,0.096756,14.5387,60,0.5995,0.6935,27.8249,26.4309,29.2189,换仓：让位给空间更大的000792
600970,中材国际,2024-11-05,2024-11-20,15,6,1,6532.00,6408.00,0.00,-0.018983,0.068541,0.080372,9.9185,60,0.5499,0.8049,19.2220,18.2590,20.1850,换仓：让位给空间更大的000792
601818,,2024-11-07,2024-11-13,6,2,1,699.00,694.00,0.00,-0.007153,0.011461,0.011461,3.2910,60,0.8343,0.1783,4.1711,3.9621,4.3801,换仓：让位给空间更大的000792
601187,,2024-11-13,2025-07-25,254,9,2,888011.00,1034011.00,8303.00,0.164412,0.101010,0.133070,4.7518,60,0.7131,0.3918,7.4742,7.0997,7.8487,换仓：让位给空间更大的000792
000661,,2025-04-07,2025-04-08,1,1,1,578280.00,589870.00,0.00,0.020042,0.000000,0.000000,96.9692,60,0.6197,0.7349,164.4660,156.2263,172.7057,跌破建仓日MA60止损
600919,江苏银行,2025-04-23,2025-07-16,84,3,1,250788.00,301434.32,5424.32,0.201949,0.050756,0.049888,9.2521,60,0.7280,0.3847,13.6536,12.9696,14.3376,换仓：让位给空间更大的000792
601009,,2025-05-28,2025-07-14,47,1,1,1132.00,1183.93,19.93,0.045875,0.042254,0.041567,10.2147,60,0.7248,0.3298,15.0531,14.2989,15.8073,换仓：让位给空间更大的688516
601658,,2025-05-29,2025-06-10,12,2,1,2127.00,2144.00,0.00,0.007992,0.014787,0.014787,5.1963,60,0.7357,0.3670,7.2179,6.8563,7.5795,换仓：让位给空间更大的002466
