snapshot,sample,arm,reference,metric,level,paired_delta,positive,n
原快照,全样本,SB1,SB1,滚动5年年化中位,0.48752249999999997,0.0,0,14
原快照,全样本,SB1,SB1,滚动5年年化P25,0.4010095,0.0,0,14
原快照,全样本,SB1,SB1,滚动5年年化最差,0.115007,0.0,0,14
原快照,全样本,SB1,SB1,滚动5年回撤中位,0.46463699999999997,0.0,0,14
原快照,全样本,SB1,SB1,滚动5年Calmar中位,1.0654785,0.0,0,14
原快照,全样本,SB1,SB1,滚动5年Sharpe中位,0.9609445,0.0,0,14
原快照,全样本,SB1,SB1,滚动5年为负的窗口占比,0.0,0.0,0,14
原快照,全样本,SB1,SB1,滚动5年窗口数,102.0,0.0,0,14
原快照,全样本,SB1,SB1,互不重叠5年块中位,0.6152785,0.0,0,14
原快照,全样本,SB1,SB1,滚动10年年化中位,0.44985050000000004,0.0,0,14
原快照,全样本,SB1,SB1,滚动10年窗口数,42.0,0.0,0,14
原快照,全样本,SB1,SB1,逐年收益中位,0.3822125,0.0,0,14
原快照,全样本,SB1,SB1,逐年为正比例,0.7774725,0.0,0,14
原快照,全样本,SB1,SB1,逐年最差,-0.271802,0.0,0,14
原快照,全样本,SB1,SB1,完整自然年数,12.5,0.0,0,14
原快照,全样本,BUY1,BASE,年化,0.396515,-0.041691000000000006,3,14
原快照,全样本,BUY1,BASE,最大回撤,0.6805669999999999,-0.014638499999999943,5,14
原快照,全样本,BUY1,BASE,Sharpe,0.7727155,-0.07937299999999997,3,14
原快照,全样本,BUY1,BASE,Calmar,0.549022,-0.04362700000000003,4,14
原快照,全样本,BUY1,BASE,平均仓位,1.594728,-0.04926699999999995,0,14
原快照,全样本,BUY1,BASE,年均换手,7.756375,0.9400635000000004,13,14
原快照,全样本,BUY1,BASE,持仓数中位,5.0,-2.0,0,14
原快照,全样本,BUY1,BASE,单票权重中位,0.6452725,-0.004269500000000037,5,14
原快照,全样本,BUY1,BASE,单票权重P90,0.897507,-0.02137249999999996,4,14
原快照,全样本,BUY1,BASE,单票权重最大,1.0695204999999999,-0.06892499999999996,4,14
原快照,全样本,BUY1,BASE,前三权重中位,1.507236,0.04999999999999993,14,14
原快照,全样本,BUY1,BASE,单票超60%天数占比,0.776951,-0.013864500000000002,6,14
原快照,全样本,BUY1,BASE,滚动3年年化中位,0.4715195,-0.01001100000000002,5,14
原快照,全样本,BUY1,BASE,滚动3年回撤中位,0.4400655,0.003629000000000021,10,14
原快照,全样本,BUY1,BASE,滚动3年Calmar中位,1.039443,-0.04718249999999996,4,14
原快照,全样本,BUY1,BASE,滚动3年Sharpe中位,0.992855,-0.004082999999999948,7,14
原快照,全样本,BUY1,BASE,滚动3年为负的窗口占比,0.0259135,0.0,4,14
原快照,全样本,BUY1,BASE,滚动5年年化中位,0.513197,-0.0031879999999999686,7,14
原快照,全样本,BUY1,BASE,滚动5年年化P25,0.3354705,-0.05662849999999997,4,14
原快照,全样本,BUY1,BASE,滚动5年年化最差,0.11148,-0.001838499999999993,7,14
