arm,security_code,security_name,report_date,label,available_at,status,reason,pv,forward_3y_ex_dividend,common_sample
WCREP,002714,牧原股份,2020-12-31,高估,2021-04-30,ok,,2.403644887021678,-0.4601007868446646,True
MC050,002714,牧原股份,2020-12-31,高估,2021-04-30,ok,,2.403644887021678,-0.4601007868446646,True
MC100,002714,牧原股份,2020-12-31,高估,2021-04-30,ok,,2.403644887021678,-0.4601007868446646,True
MC150,002714,牧原股份,2020-12-31,高估,2021-04-30,ok,,2.403644887021678,-0.4601007868446646,True
BASE,600507,方大特钢,2018-12-31,高估,2019-02-22,ok,,1.1953266236744826,-0.07393528969149732,True
WCREP,600507,方大特钢,2018-12-31,高估,2019-02-22,ok,,1.1953266236744826,-0.07393528969149732,True
MC050,600507,方大特钢,2018-12-31,高估,2019-02-22,ok,,1.1953266236744826,-0.07393528969149732,True
MC100,600507,方大特钢,2018-12-31,高估,2019-02-22,ok,,1.1953266236744826,-0.07393528969149732,True
MC150,600507,方大特钢,2018-12-31,高估,2019-02-22,ok,,1.1953266236744826,-0.07393528969149732,True
BASE,300308,中际旭创,2018-12-31,高估,2019-04-24,ok,,5.904390203178644,-0.2881230116648993,True
WCREP,300308,中际旭创,2018-12-31,高估,2019-04-24,ok,,5.904390203178644,-0.2881230116648993,True
MC050,300308,中际旭创,2018-12-31,高估,2019-04-24,ok,,5.904390203178644,-0.2881230116648993,True
MC100,300308,中际旭创,2018-12-31,高估,2019-04-24,ok,,5.904390203178644,-0.2881230116648993,True
MC150,300308,中际旭创,2018-12-31,高估,2019-04-24,ok,,5.904390203178644,-0.2881230116648993,True
