group,arm,metric,paired_delta_vs_wc,positive_starts,starts
full,MC100M15SEP09,最大回撤,0.041183700667809686,11,14
full,MC100M15SEP09,Sharpe,-0.06471437907086297,2,14
full,MC100M15SEP09,Calmar,-0.12229280039569262,2,14
full,MC100M15SEP09,平均仓位,0.009652311430097149,10,14
full,MC100M15SEP09,年均换手,-0.0017156379680982603,7,14
full,MC100M15SEP09,持仓数中位,0.0,3,14
full,MC100M15SEP09,单票权重中位,0.0005642839720654269,7,14
full,MC100M15SEP09,单票权重P90,0.06993740013854916,10,14
full,MC100M15SEP09,单票权重最大,0.13710060596810525,11,14
full,MC100M15SEP09,前三权重中位,0.011773433393167054,10,14
full,MC100M15SEP09,单票超60%天数占比,-0.01850530616389906,5,14
full,MC100M15SEP09,滚动3年年化中位,-0.07152032651469209,2,14
full,MC100M15SEP09,滚动3年回撤中位,0.009499998792477593,11,14
full,MC100M15SEP09,滚动3年Calmar中位,-0.15056574713776016,2,14
full,MC100M15SEP09,滚动3年Sharpe中位,-0.06963794329777179,2,14
full,MC100M15SEP09,滚动3年为负的窗口占比,0.027799227799227798,10,14
full,MC100M15SEP09,滚动5年年化中位,-0.045555235748405476,2,14
full,MC100M15SEP09,滚动5年年化P25,-0.10175500556688533,1,14
full,MC100M15SEP09,滚动5年年化最差,-0.04519428452390151,0,14
full,MC100M15SEP09,滚动5年回撤中位,0.030565850097032388,11,14
full,MC100M15SEP09,滚动5年Calmar中位,-0.15551250847858333,2,14
full,MC100M15SEP09,滚动5年Sharpe中位,-0.05296971672911843,2,14
full,MC100M15SEP09,滚动5年为负的窗口占比,0.0,4,14
full,MC100M15SEP09,滚动5年窗口数,0.0,0,14
full,MC100M15SEP09,互不重叠5年块中位,-0.06707315308203365,2,14
full,MC100M15SEP09,滚动10年年化中位,-0.07944183970264107,2,14
full,MC100M15SEP09,滚动10年窗口数,0.0,0,14
full,MC100M15SEP09,逐年收益中位,0.0029763203185514397,8,14
full,MC100M15SEP09,逐年为正比例,0.0,2,14
full,MC100M15SEP09,逐年最差,-0.06581669117432248,2,14
full,MC100M15SEP09,完整自然年数,0.0,0,14
full,MC100M15SEP09,强平次数,0.0,0,14
full,MC100M15SEP09,最低担保比例,-0.0676910986699466,3,14
full,MC100M15SEP09,最低股票同跌缓冲,-0.029752972565114166,3,14
full,MC100M15SEP09,最低总资产冲击缓冲,-0.029752972565114222,3,14
full,MC100M15SEP09,rf覆盖率,0.0,0,14
full,MC100M15SEP09,年化_交易日口径,-0.04677291657709659,2,14
full,MC100M15SEP09,最低担保比例日,0.0,5,14
full,MC100M15SEP09,最低股票同跌缓冲日,0.0,5,14
full,MC100M15SEP09,滚动5年年化最差窗口末日,0.0,3,14
full,MC100M15SEP09,最大回撤起日,0.0,2,14
full,MC100M15SEP09,最大回撤止日,1.0,7,14
full,MC100M15SEP09,末次净值日,0.0,0,14
full,MC100M16SEP09,年化,-0.04564031988132167,2,14
full,MC100M16SEP09,最大回撤,0.0284009383252537,10,14
full,MC100M16SEP09,Sharpe,-0.06442092674157646,2,14
full,MC100M16SEP09,Calmar,-0.08850014758198022,3,14
full,MC100M16SEP09,平均仓位,0.009630827346973625,10,14
full,MC100M16SEP09,年均换手,-0.013624988831708151,7,14
full,MC100M16SEP09,持仓数中位,0.0,2,14
full,MC100M16SEP09,单票权重中位,-0.0032220454612394978,5,14
full,MC100M16SEP09,单票权重P90,0.04645127414321365,10,14
full,MC100M16SEP09,单票权重最大,0.0787694539720531,11,14
full,MC100M16SEP09,前三权重中位,0.004604616349039525,8,14
full,MC100M16SEP09,单票超60%天数占比,-0.015831652457262813,4,14
full,MC100M16SEP09,滚动3年年化中位,-0.055399440103580666,1,14
full,MC100M16SEP09,滚动3年回撤中位,0.015443725246604145,11,14
full,MC100M16SEP09,滚动3年Calmar中位,-0.13063345683429134,1,14
full,MC100M16SEP09,滚动3年Sharpe中位,-0.06266305934274186,1,14
full,MC100M16SEP09,滚动3年为负的窗口占比,0.024624624624624628,10,14
full,MC100M16SEP09,滚动5年年化中位,-0.04224833895989144,2,14
full,MC100M16SEP09,滚动5年年化P25,-0.0613674335842509,2,14
full,MC100M16SEP09,滚动5年年化最差,-0.037656911815265315,1,14
full,MC100M16SEP09,滚动5年回撤中位,0.021823086397485147,8,14
full,MC100M16SEP09,滚动5年Calmar中位,-0.07769387086128687,2,14
full,MC100M16SEP09,滚动5年Sharpe中位,-0.05365967567790075,3,14
full,MC100M16SEP09,滚动5年为负的窗口占比,0.0,4,14
full,MC100M16SEP09,滚动5年窗口数,0.0,0,14
full,MC100M16SEP09,互不重叠5年块中位,-0.057388696333288025,1,14
full,MC100M16SEP09,滚动10年年化中位,-0.08213525945139522,2,14
full,MC100M16SEP09,滚动10年窗口数,0.0,0,14
full,MC100M16SEP09,逐年收益中位,0.009732543838751828,8,14
full,MC100M16SEP09,逐年为正比例,0.0,1,14
full,MC100M16SEP09,逐年最差,-0.03549966486184458,4,14
full,MC100M16SEP09,完整自然年数,0.0,0,14
full,MC100M16SEP09,强平次数,0.0,0,14
full,MC100M16SEP09,最低担保比例,-0.03486244282255624,6,14
full,MC100M16SEP09,最低股票同跌缓冲,-0.016095045334110714,6,14
full,MC100M16SEP09,最低总资产冲击缓冲,-0.01609504533411077,6,14
full,MC100M16SEP09,rf覆盖率,0.0,0,14
full,MC100M16SEP09,年化_交易日口径,-0.045834371129181206,2,14
full,MC100M16SEP09,最低担保比例日,0.0,3,14
full,MC100M16SEP09,最低股票同跌缓冲日,0.0,3,14
full,MC100M16SEP09,滚动5年年化最差窗口末日,0.0,2,14
full,MC100M16SEP09,最大回撤起日,0.0,2,14
full,MC100M16SEP09,最大回撤止日,0.0,6,14
full,MC100M16SEP09,末次净值日,0.0,0,14
full,MC150M14SEP09,年化,-0.039250627167550234,2,14
full,MC150M14SEP09,最大回撤,0.02523040694717099,12,14
full,MC150M14SEP09,Sharpe,-0.04887404262807277,2,14
full,MC150M14SEP09,Calmar,-0.10336040516208728,3,14
full,MC150M14SEP09,平均仓位,0.005286614868381556,9,14
full,MC150M14SEP09,年均换手,0.3466101903620782,9,14
full,MC150M14SEP09,持仓数中位,0.0,5,14
full,MC150M14SEP09,单票权重中位,-0.0066982966588049475,5,14
full,MC150M14SEP09,单票权重P90,0.048335260373373545,8,14
full,MC150M14SEP09,单票权重最大,0.11252110496113366,12,14
full,MC150M14SEP09,前三权重中位,0.012040550854797716,9,14
full,MC150M14SEP09,单票超60%天数占比,-0.009644614593784684,5,14
full,MC150M14SEP09,滚动3年年化中位,-0.08059453215153489,1,14
full,MC150M14SEP09,滚动3年回撤中位,-0.00038302791436628514,7,14
full,MC150M14SEP09,滚动3年Calmar中位,-0.12217832183008365,1,14
full,MC150M14SEP09,滚动3年Sharpe中位,-0.09214515956378783,1,14
full,MC150M14SEP09,滚动3年为负的窗口占比,0.015380217267009721,11,14
full,MC150M14SEP09,滚动5年年化中位,-0.0676017188962823,1,14
full,MC150M14SEP09,滚动5年年化P25,-0.06165575293845771,3,14
full,MC150M14SEP09,滚动5年年化最差,-0.04256782721645658,1,14
full,MC150M14SEP09,滚动5年回撤中位,0.023819770436174836,11,14
full,MC150M14SEP09,滚动5年Calmar中位,-0.16466578043568592,3,14
full,MC150M14SEP09,滚动5年Sharpe中位,-0.07539887476021356,3,14
full,MC150M14SEP09,滚动5年为负的窗口占比,0.0,4,14
full,MC150M14SEP09,滚动5年窗口数,0.0,0,14
full,MC150M14SEP09,互不重叠5年块中位,-0.05534320846842378,2,14
full,MC150M14SEP09,滚动10年年化中位,-0.0624305046269249,1,14
full,MC150M14SEP09,滚动10年窗口数,0.0,0,14
full,MC150M14SEP09,逐年收益中位,0.005679621136680246,8,14
full,MC150M14SEP09,逐年为正比例,0.0,3,14
full,MC150M14SEP09,逐年最差,-0.0623117017848302,3,14
full,MC150M14SEP09,完整自然年数,0.0,0,14
full,MC150M14SEP09,强平次数,0.0,0,14
full,MC150M14SEP09,最低担保比例,-0.05442149697791687,2,14
full,MC150M14SEP09,最低股票同跌缓冲,-0.02544597324938666,2,14
full,MC150M14SEP09,最低总资产冲击缓冲,-0.025445973249386744,2,14
full,MC150M14SEP09,rf覆盖率,0.0,0,14
full,MC150M14SEP09,年化_交易日口径,-0.039397357376187214,2,14
full,MC150M14SEP09,最低担保比例日,0.0,5,14
full,MC150M14SEP09,最低股票同跌缓冲日,0.0,5,14
full,MC150M14SEP09,滚动5年年化最差窗口末日,0.0,1,14
full,MC150M14SEP09,最大回撤起日,-1.5,1,14
full,MC150M14SEP09,最大回撤止日,1.0,7,14
full,MC150M14SEP09,末次净值日,0.0,0,14
full,MC150M15SEP09,年化,-0.029779284012984575,2,14
full,MC150M15SEP09,最大回撤,0.03303391703334285,12,14
full,MC150M15SEP09,Sharpe,-0.0394488991235773,1,14
full,MC150M15SEP09,Calmar,-0.08037906930834415,1,14
full,MC150M15SEP09,平均仓位,0.006916663639480625,10,14
full,MC150M15SEP09,年均换手,-0.160329984086093,5,14
full,MC150M15SEP09,持仓数中位,0.0,3,14
full,MC150M15SEP09,单票权重中位,-0.004658897503970083,6,14
full,MC150M15SEP09,单票权重P90,0.030250211480883415,8,14
full,MC150M15SEP09,单票权重最大,0.12061462551143393,12,14
full,MC150M15SEP09,前三权重中位,0.01412347478317122,8,14
full,MC150M15SEP09,单票超60%天数占比,-0.006868869071373795,5,14
full,MC150M15SEP09,滚动3年年化中位,-0.06260926143331791,1,14
full,MC150M15SEP09,滚动3年回撤中位,0.015427981842673966,9,14
full,MC150M15SEP09,滚动3年Calmar中位,-0.12512046175502323,1,14
full,MC150M15SEP09,滚动3年Sharpe中位,-0.058165595328796005,0,14
full,MC150M15SEP09,滚动3年为负的窗口占比,0.025267017376056116,10,14
full,MC150M15SEP09,滚动5年年化中位,-0.04589838956942771,2,14
full,MC150M15SEP09,滚动5年年化P25,-0.08558249266046247,2,14
full,MC150M15SEP09,滚动5年年化最差,-0.044478906132635054,0,14
full,MC150M15SEP09,滚动5年回撤中位,0.025898645627479178,11,14
full,MC150M15SEP09,滚动5年Calmar中位,-0.13155387764609117,3,14
full,MC150M15SEP09,滚动5年Sharpe中位,-0.053368436031215216,3,14
full,MC150M15SEP09,滚动5年为负的窗口占比,0.0,4,14
full,MC150M15SEP09,滚动5年窗口数,0.0,0,14
full,MC150M15SEP09,互不重叠5年块中位,-0.05077526670999544,1,14
full,MC150M15SEP09,滚动10年年化中位,-0.0571872038536273,1,14
full,MC150M15SEP09,滚动10年窗口数,0.0,0,14
full,MC150M15SEP09,逐年收益中位,-0.002769805983043938,6,14
full,MC150M15SEP09,逐年为正比例,0.0,3,14
full,MC150M15SEP09,逐年最差,-0.062179253633360465,3,14
full,MC150M15SEP09,完整自然年数,0.0,0,14
full,MC150M15SEP09,强平次数,0.0,0,14
full,MC150M15SEP09,最低担保比例,-0.0288343089126879,3,14
full,MC150M15SEP09,最低股票同跌缓冲,-0.012468715107593994,3,14
full,MC150M15SEP09,最低总资产冲击缓冲,-0.012468715107594008,3,14
full,MC150M15SEP09,rf覆盖率,0.0,0,14
full,MC150M15SEP09,年化_交易日口径,-0.029898961251534684,2,14
full,MC150M15SEP09,最低担保比例日,0.0,4,14
full,MC150M15SEP09,最低股票同跌缓冲日,0.0,4,14
full,MC150M15SEP09,滚动5年年化最差窗口末日,0.0,1,14
full,MC150M15SEP09,最大回撤起日,-1.5,1,14
full,MC150M15SEP09,最大回撤止日,1.0,7,14
full,MC150M15SEP09,末次净值日,0.0,0,14
full,MC150M16SEP09,年化,-0.05485653055095041,2,14
full,MC150M16SEP09,最大回撤,0.03811497501758193,10,14
full,MC150M16SEP09,Sharpe,-0.07478685977411614,2,14
full,MC150M16SEP09,Calmar,-0.045084516522690354,3,14
full,MC150M16SEP09,平均仓位,0.01163899829555426,10,14
full,MC150M16SEP09,年均换手,-0.5047856297007578,4,14
full,MC150M16SEP09,持仓数中位,0.0,5,14
full,MC150M16SEP09,单票权重中位,0.0014558651216232121,8,14
full,MC150M16SEP09,单票权重P90,0.08995425700907339,9,14
full,MC150M16SEP09,单票权重最大,0.11768319062926014,10,14
full,MC150M16SEP09,前三权重中位,0.010504237935362704,10,14
full,MC150M16SEP09,单票超60%天数占比,0.0013927743406154103,7,14
full,MC150M16SEP09,滚动3年年化中位,-0.08450846812407453,2,14
full,MC150M16SEP09,滚动3年回撤中位,0.015300619953626637,11,14
full,MC150M16SEP09,滚动3年Calmar中位,-0.17460572494979154,5,14
full,MC150M16SEP09,滚动3年Sharpe中位,-0.10171616655108923,2,14
full,MC150M16SEP09,滚动3年为负的窗口占比,0.022604422604422608,11,14
full,MC150M16SEP09,滚动5年年化中位,-0.08894862531906145,2,14
full,MC150M16SEP09,滚动5年年化P25,-0.10573998213625535,1,14
full,MC150M16SEP09,滚动5年年化最差,-0.04313653031426201,1,14
full,MC150M16SEP09,滚动5年回撤中位,0.01925497476055532,8,14
full,MC150M16SEP09,滚动5年Calmar中位,-0.1403769488995512,4,14
full,MC150M16SEP09,滚动5年Sharpe中位,-0.1123531958818006,3,14
full,MC150M16SEP09,滚动5年为负的窗口占比,0.0,4,14
full,MC150M16SEP09,滚动5年窗口数,0.0,0,14
full,MC150M16SEP09,互不重叠5年块中位,-0.07073467759846241,3,14
full,MC150M16SEP09,滚动10年年化中位,-0.08951904687925738,2,14
full,MC150M16SEP09,滚动10年窗口数,0.0,0,14
full,MC150M16SEP09,逐年收益中位,0.005894943556272736,8,14
full,MC150M16SEP09,逐年为正比例,0.0,3,14
full,MC150M16SEP09,逐年最差,-0.04851224722869901,4,14
full,MC150M16SEP09,完整自然年数,0.0,0,14
full,MC150M16SEP09,强平次数,0.0,0,14
full,MC150M16SEP09,最低担保比例,-0.05212597790694107,4,14
full,MC150M16SEP09,最低股票同跌缓冲,-0.023867396125697868,4,14
full,MC150M16SEP09,最低总资产冲击缓冲,-0.02386739612569788,4,14
full,MC150M16SEP09,rf覆盖率,0.0,0,14
full,MC150M16SEP09,年化_交易日口径,-0.05511744299655563,2,14
full,MC150M16SEP09,最低担保比例日,0.0,5,14
full,MC150M16SEP09,最低股票同跌缓冲日,0.0,5,14
