date,net_equity,cash,positions,cash_ratio,debt,margin_ratio,top1_weight,top3_weight
2017-01-25,5328307.35,0.00,3,0.0000,4014496.65,2.3273,0.6972,1.7534
2017-01-26,5363993.40,0.00,3,0.0000,4014881.60,2.3360,0.6937,1.7485
2017-02-03,5243823.49,0.00,3,0.0000,4017961.51,2.3051,0.6973,1.7662
2017-02-06,5193925.64,0.00,3,0.0000,4019117.36,2.2923,0.6957,1.7738
2017-02-07,5255440.25,0.00,3,0.0000,4019502.75,2.3075,0.6875,1.7648
2017-02-08,5326508.81,0.00,3,0.0000,4019888.19,2.3250,0.6836,1.7547
2017-02-09,5363015.35,0.00,3,0.0000,4020273.65,2.3340,0.6806,1.7496
2017-02-10,5477994.84,0.00,3,0.0000,4020659.16,2.3625,0.6730,1.7340
2017-02-13,5684291.21,0.00,3,0.0000,4021815.79,2.4134,0.6539,1.7075
2017-02-14,5647165.56,0.00,3,0.0000,4022201.44,2.4040,0.6624,1.7123
2017-02-15,5627111.87,0.00,3,0.0000,4022587.13,2.3989,0.6648,1.7149
2017-02-16,5748388.14,0.00,3,0.0000,4022972.86,2.4289,0.6541,1.6998
2017-02-17,5590003.38,0.00,3,0.0000,4023358.62,2.3894,0.6618,1.7197
2017-02-20,5803765.97,0.00,3,0.0000,4024516.03,2.4421,0.6592,1.6934
2017-02-21,5772111.06,0.00,3,0.0000,4024901.94,2.4341,0.6556,1.6973
2017-02-22,5784275.11,0.00,3,0.0000,4025287.89,2.4370,0.6561,1.6959
2017-02-23,5665340.12,0.00,3,0.0000,4025673.88,2.4073,0.6601,1.7106
2017-02-24,5591678.10,0.00,3,0.0000,4026059.90,2.3889,0.6674,1.7200
2017-02-27,5474946.92,0.00,3,0.0000,4027218.08,2.3595,0.6663,1.7356
2017-02-28,5544930.75,0.00,3,0.0000,4027604.25,2.3767,0.6631,1.7264
2017-03-01,5577472.92,0.00,3,0.0000,3750344.08,2.4872,0.6597,1.6724
2017-03-02,5516672.30,0.00,3,0.0000,3750703.70,2.4708,0.6634,1.6799
2017-03-03,5514159.72,775.36,4,0.0001,3670774.65,2.5022,0.6634,1.6300
2017-03-06,5681931.46,0.00,4,0.0000,3783775.54,2.5017,0.6639,1.6128
2017-03-07,5692419.57,0.00,4,0.0000,3790260.43,2.5019,0.6645,1.6114
2017-03-08,5652882.12,0.00,4,0.0000,3790623.88,2.4913,0.6659,1.6156
2017-03-09,5585348.63,0.00,4,0.0000,3790987.37,2.4733,0.6814,1.6239
2017-03-10,5609577.12,0.00,4,0.0000,3791350.88,2.4796,0.6918,1.6215
2017-03-13,5651068.45,0.00,4,0.0000,3792441.55,2.4901,0.6846,1.6162
2017-03-14,5654024.79,0.00,4,0.0000,3792805.21,2.4907,0.6804,1.6139
2017-03-15,5813586.45,0.00,4,0.0000,3871801.55,2.5015,0.6753,1.5954
2017-03-16,5818392.16,0.00,4,0.0000,3874364.84,2.5018,0.6732,1.5948
2017-03-17,5704407.65,0.00,4,0.0000,3874736.35,2.4722,0.6768,1.6076
2017-03-20,6163910.85,0.00,4,0.0000,4104464.15,2.5018,0.6583,1.5770
2017-03-21,6654545.41,0.00,4,0.0000,4430933.59,2.5018,0.6606,1.5353
2017-03-22,6563688.52,0.00,4,0.0000,4431358.48,2.4812,0.6562,1.5431
2017-03-23,6607281.60,0.00,4,0.0000,4431783.40,2.4909,0.6469,1.5367
2017-03-24,6623375.63,0.00,4,0.0000,4432208.37,2.4944,0.6436,1.5377
2017-03-27,6452959.62,0.00,4,0.0000,4433483.38,2.4555,0.6534,1.5534
2017-03-28,6469597.49,0.00,4,0.0000,4433908.51,2.4591,0.6511,1.5520
2017-03-29,6524626.32,0.00,4,0.0000,4434333.68,2.4714,0.6486,1.5474
2017-03-30,6467146.11,0.00,4,0.0000,4434758.89,2.4583,0.6558,1.5549
