date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2012-12-25,600660,买入,6400,8.600,55040,0.6183,13.182,定投加仓,福耀玻璃
2012-12-26,600660,买入,600,8.620,5172,0.6524,13.182,定投加仓,福耀玻璃
2013-01-07,600660,买入,6500,8.530,55445,0.6600,13.182,定投加仓,福耀玻璃
2013-01-18,600660,买入,3200,8.790,28128,0.6494,13.182,定投加仓,福耀玻璃
2013-01-21,600660,买入,6700,8.840,59228,0.6668,13.182,定投加仓,福耀玻璃
2013-01-28,600660,买入,11800,8.640,101952,0.6524,13.182,定投加仓,福耀玻璃
2013-01-29,600660,买入,1800,8.500,15300,0.6554,13.182,定投加仓,福耀玻璃
2013-01-30,600660,买入,400,8.470,3388,0.6448,13.182,定投加仓,福耀玻璃
2013-01-30,002024,买入,100,7.270,727,0.8245,8.806,首次建仓,
2013-02-01,600660,买入,5100,8.420,42942,0.6334,13.182,定投加仓,福耀玻璃
2013-02-04,600660,买入,1400,8.430,11802,0.6387,13.182,定投加仓,福耀玻璃
2013-02-05,600660,买入,4800,8.530,40944,0.6395,13.182,定投加仓,福耀玻璃
2013-02-08,600660,买入,7400,8.900,65860,0.6615,13.182,定投加仓,福耀玻璃
2013-02-08,002024,买入,100,7.280,728,0.8233,8.806,定投加仓,
2013-02-26,002024,卖出,200,6.550,1310,,,跌破建仓日MA60止损,
2013-06-17,600585,卖出,92500,14.200,1313500,,,跌破建仓日MA60止损,
2013-06-17,600660,买入,14000,7.720,108080,0.6496,12.007,定投加仓,福耀玻璃
2013-06-17,000338,买入,5400,20.040,108216,0.6537,31.086,定投加仓,潍柴动力
2013-06-18,600660,买入,14700,7.740,113778,0.6429,12.007,定投加仓,福耀玻璃
2013-06-18,000338,买入,5600,20.150,112840,0.6447,31.086,定投加仓,潍柴动力
2013-06-19,600660,买入,2600,7.600,19760,0.6446,12.007,定投加仓,福耀玻璃
2013-06-21,000338,卖出,42000,19.240,808080,,,跌破建仓日MA60止损,潍柴动力
2013-06-21,600660,买入,14700,7.420,109074,0.6205,12.007,定投加仓,福耀玻璃
2013-06-24,600660,买入,14500,7.100,102950,0.6180,12.007,定投加仓,福耀玻璃
2013-06-24,600066,买入,5800,17.500,101500,0.9061,20.184,首次建仓,宇通客车
2013-06-25,600660,买入,14200,7.260,103092,0.5913,12.007,定投加仓,福耀玻璃
2013-06-25,600066,买入,5900,17.490,103191,0.8670,20.184,定投加仓,宇通客车
2013-06-26,600660,买入,6800,7.120,48416,0.6046,12.007,定投加仓,福耀玻璃
2013-06-26,600066,买入,5800,17.970,104226,0.8665,20.184,定投加仓,宇通客车
2013-06-27,600660,买入,4900,7.030,34447,0.5930,12.007,定投加仓,福耀玻璃
2013-06-27,600066,买入,200,18.170,3634,0.8903,20.184,定投加仓,宇通客车
2013-06-28,600660,买入,3500,7.190,25165,0.5855,12.007,定投加仓,福耀玻璃
2013-07-01,600066,买入,100,19.140,1914,0.9081,20.184,定投加仓,宇通客车
2013-07-01,601398,买入,400,4.030,1612,0.9813,4.097,首次建仓,工商银行
2013-07-03,601398,买入,600,3.940,2364,0.9813,4.097,定投加仓,工商银行
2013-07-04,600066,买入,2500,18.890,47225,0.9611,20.184,定投加仓,宇通客车
2013-07-04,601398,买入,400,3.910,1564,0.9618,4.097,定投加仓,工商银行
2013-07-05,600066,买入,300,19.180,5754,0.9359,20.184,定投加仓,宇通客车
2013-07-05,601398,买入,400,3.950,1580,0.9544,4.097,定投加仓,工商银行
2013-07-11,600066,买入,6200,18.800,116560,0.8933,20.184,定投加仓,宇通客车
2013-07-11,601398,买入,4400,3.980,17512,0.9593,4.097,定投加仓,工商银行
2013-08-06,601398,买入,5300,3.900,20670,0.9954,3.938,定投加仓,工商银行
2013-08-08,002024,买入,200,7.190,1438,0.8433,7.992,首次建仓,
2013-08-08,601398,买入,100,3.900,390,0.9877,3.938,定投加仓,工商银行
2013-08-09,002024,买入,2400,7.070,16968,0.8996,7.992,定投加仓,
2013-08-09,601398,买入,100,3.910,391,0.9903,3.938,定投加仓,工商银行
2013-08-12,002024,买入,7800,7.120,55536,0.8846,7.992,定投加仓,
2013-08-23,601398,卖出,11700,3.890,45513,,,换仓：让位给空间更大的000933,工商银行
2013-08-30,600066,卖出,6700,17.300,115910,,,换仓·减一档：让位给000338,宇通客车
2013-08-30,000338,买入,3300,19.170,63261,0.5819,32.101,首次建仓,潍柴动力
2013-09-02,600066,卖出,6500,17.870,116155,,,换仓·减一档：让位给000933,宇通客车
2013-09-02,000338,买入,6000,19.510,117060,0.5972,32.101,定投加仓,潍柴动力
2013-09-02,000933,买入,100,5.860,586,0.6203,9.285,首次建仓,神火股份
2013-09-03,000338,买入,1300,19.520,25376,0.6078,32.101,定投加仓,潍柴动力
2013-09-03,000933,买入,200,5.950,1190,0.6311,9.285,定投加仓,神火股份
2013-09-09,000338,买入,700,19.830,13881,0.6012,32.101,定投加仓,潍柴动力
2013-09-10,000338,买入,2400,20.310,48744,0.6177,32.101,定投加仓,潍柴动力
2013-09-10,000933,买入,200,6.040,1208,0.6376,9.285,定投加仓,神火股份
2013-09-11,000338,买入,400,21.070,8428,0.6327,32.101,定投加仓,潍柴动力
2013-09-11,000933,买入,200,6.130,1226,0.6505,9.285,定投加仓,神火股份
2013-09-12,000338,买入,900,20.680,18612,0.6564,32.101,定投加仓,潍柴动力
2013-09-23,600066,卖出,6500,18.970,123305,,,换仓·减一档：让位给600031,宇通客车
2013-09-23,000933,买入,17400,5.520,96048,0.5859,9.285,定投加仓,神火股份
2013-09-24,000933,买入,16700,5.490,91683,0.5945,9.285,定投加仓,神火股份
2013-09-25,000933,买入,20500,5.520,113160,0.5913,9.285,定投加仓,神火股份
2013-09-30,600066,卖出,7100,18.400,130640,,,换仓：让位给空间更大的600188,宇通客车
2013-09-30,000933,买入,3400,5.490,18666,0.5816,9.285,定投加仓,神火股份
2013-09-30,601988,买入,100,2.780,278,1.0203,2.725,首次建仓,
2013-10-09,000933,买入,2300,5.590,12857,0.6063,9.285,定投加仓,神火股份
2013-10-10,000933,买入,4800,5.590,26832,0.6020,9.285,定投加仓,神火股份
2013-10-11,000933,买入,6600,5.690,37554,0.6020,9.285,定投加仓,神火股份
2013-10-11,601988,买入,100,2.840,284,1.0204,2.744,定投加仓,
2013-10-14,000933,买入,4900,5.730,28077,0.6128,9.285,定投加仓,神火股份
2013-10-16,601988,卖出,200,2.800,560,,,换仓：让位给空间更大的600031,
2013-10-23,002024,卖出,10400,11.360,118144,,,换仓：让位给空间更大的601088,
2013-10-23,000933,买入,6700,5.640,37788,0.6182,9.285,定投加仓,神火股份
2013-10-23,601988,买入,100,2.820,282,1.0277,2.744,首次建仓,
2013-10-24,000933,买入,5300,5.410,28673,0.6074,9.285,定投加仓,神火股份
2013-10-24,601988,买入,100,2.790,279,1.0277,2.744,定投加仓,
2013-10-25,601988,卖出,200,2.780,556,,,换仓：让位给空间更大的600188,
2013-10-28,000933,卖出,89300,5.150,459895,,,跌破建仓日MA60止损,神火股份
2013-10-28,000338,买入,7000,19.150,134050,0.6053,32.895,定投加仓,潍柴动力
2013-10-28,600660,买入,15600,8.240,128544,0.7090,11.593,定投加仓,福耀玻璃
2013-10-28,600897,买入,9200,14.740,135608,0.9223,15.884,首次建仓,
2013-10-28,600309,买入,3300,17.090,56397,0.9497,17.953,首次建仓,万华化学
2013-10-30,000338,买入,7100,19.040,135184,0.5694,32.895,定投加仓,潍柴动力
2013-10-30,600660,买入,100,8.410,841,0.6542,12.396,定投加仓,福耀玻璃
2013-10-30,601988,买入,100,2.820,282,1.0241,2.744,首次建仓,
2013-11-04,000338,买入,200,19.400,3880,0.5879,32.895,定投加仓,潍柴动力
2013-11-04,600660,买入,100,8.560,856,0.6833,12.396,定投加仓,福耀玻璃
2013-11-25,600660,买入,1700,8.420,14314,0.6704,12.396,定投加仓,福耀玻璃
2013-11-26,601988,卖出,100,2.800,280,,,换仓：让位给空间更大的600585,
2013-11-28,600660,买入,3600,8.530,30708,0.6712,12.396,定投加仓,福耀玻璃
2013-11-29,600660,买入,700,8.590,6013,0.6881,12.396,定投加仓,福耀玻璃
2013-12-03,600660,买入,2600,8.870,23062,0.6994,12.396,定投加仓,福耀玻璃
2013-12-04,600660,买入,8100,9.120,73872,0.7155,12.396,定投加仓,福耀玻璃
2013-12-04,600585,买入,900,18.870,16983,0.8418,21.942,首次建仓,
2013-12-06,000338,买入,1200,21.000,25200,0.6399,32.895,定投加仓,潍柴动力
2013-12-06,601857,买入,100,8.180,818,0.9384,8.685,首次建仓,
2013-12-09,000338,买入,1500,21.210,31815,0.6384,32.895,定投加仓,潍柴动力
2013-12-09,600660,买入,100,8.990,899,0.7349,12.396,定投加仓,福耀玻璃
2013-12-09,601857,买入,100,8.160,816,0.9419,8.685,定投加仓,
2013-12-10,000338,买入,400,20.880,8352,0.6448,32.895,定投加仓,潍柴动力
2013-12-10,600660,买入,100,9.020,902,0.7252,12.396,定投加仓,福耀玻璃
2013-12-10,601857,买入,100,8.100,810,0.9396,8.685,定投加仓,
2013-12-16,601857,卖出,300,7.810,2343,,,跌破建仓日MA60止损,
2013-12-18,600309,卖出,3300,20.000,66000,,,换仓：让位给空间更大的600066,万华化学
2014-01-03,600585,卖出,900,15.730,14157,,,跌破建仓日MA60止损,
2014-01-06,000338,卖出,32400,17.710,573804,,,跌破建仓日MA60止损,潍柴动力
2014-01-06,600897,买入,9200,14.320,131744,0.9349,15.884,定投加仓,
2014-01-07,600897,买入,4500,14.420,64890,0.9015,15.884,定投加仓,
2014-01-22,600066,买入,800,18.090,14472,0.8347,21.194,首次建仓,宇通客车
2014-02-11,600066,买入,1000,19.290,19290,0.9153,21.194,定投加仓,宇通客车
2014-02-12,600066,买入,3300,18.930,62469,0.9101,21.194,定投加仓,宇通客车
2014-02-13,600066,买入,1000,19.450,19450,0.8932,21.194,定投加仓,宇通客车
2014-02-14,002304,买入,100,49.920,4992,0.5557,82.683,首次建仓,
2014-02-14,600066,买入,200,19.590,3918,0.9177,21.194,定投加仓,宇通客车
2014-02-17,002304,买入,200,52.840,10568,0.6037,82.683,定投加仓,
2014-02-17,600066,买入,100,19.780,1978,0.9243,21.194,定投加仓,宇通客车
2014-02-19,002304,买入,100,54.500,5450,0.6362,82.683,定投加仓,
2014-02-19,600066,买入,200,18.830,3766,0.9040,21.194,定投加仓,宇通客车
2014-02-25,600066,卖出,6600,17.090,112794,,,跌破建仓日MA60止损,宇通客车
2014-03-06,600897,卖出,8200,14.680,120376,,,换仓·减一档：让位给000858,
2014-03-07,600897,卖出,8300,14.340,119022,,,换仓·减一档：让位给000858（同日对冲 100 股）,
2014-03-07,002304,买入,1200,51.640,61968,0.6350,82.683,定投加仓,
2014-03-10,600897,卖出,6400,13.830,88512,,,换仓：让位给空间更大的000858,
2014-03-10,002304,买入,600,49.710,29826,0.6246,82.683,定投加仓,
2014-03-11,002304,买入,800,50.700,40560,0.6012,82.683,定投加仓,
2014-03-12,002304,买入,700,49.810,34867,0.6132,82.683,定投加仓,
2014-03-13,002304,买入,200,54.040,10808,0.6024,82.683,定投加仓,
2014-03-17,002304,买入,200,53.700,10740,0.6454,82.683,定投加仓,
2014-03-17,000869,买入,100,26.560,2656,0.8318,31.703,首次建仓,
2014-03-20,000869,卖出,100,25.320,2532,,,跌破建仓日MA60止损,
2014-03-31,002304,买入,700,49.190,34433,0.5866,82.683,定投加仓,
2014-04-01,002304,买入,400,51.760,20704,0.5949,82.683,定投加仓,
2014-04-02,002304,买入,500,53.950,26975,0.6260,82.683,定投加仓,
2014-04-04,002304,买入,200,53.880,10776,0.6558,82.683,定投加仓,
2014-04-04,000869,买入,100,26.410,2641,0.8182,31.703,首次建仓,
2014-04-04,600000,买入,100,9.730,973,0.9524,10.153,首次建仓,
2014-04-08,002304,买入,1100,53.990,59389,0.6516,82.683,定投加仓,
2014-04-09,002304,买入,300,52.890,15867,0.6530,82.683,定投加仓,
2014-04-09,600000,买入,100,10.100,1010,0.9987,10.153,定投加仓,
2014-04-10,002304,买入,300,53.660,16098,0.6397,82.683,定投加仓,
2014-04-11,002304,买入,1600,52.960,84736,0.6490,82.683,定投加仓,
2014-04-11,600585,买入,100,18.440,1844,0.7155,26.695,首次建仓,
2014-04-11,600000,买入,100,10.250,1025,1.0076,10.153,定投加仓,
2014-04-18,600000,卖出,300,9.780,2934,,,换仓：让位给空间更大的601088,
2014-04-25,000869,卖出,100,25.050,2505,,,跌破建仓日MA60止损,
2014-05-13,000651,卖出,4700,29.440,138368,,,换仓·减一档：让位给601088,格力电器
2014-05-13,601088,买入,3900,14.440,56316,0.4363,33.878,首次建仓,中国神华
2014-05-13,601398,买入,100,3.460,346,0.8378,4.154,首次建仓,工商银行
2014-05-14,000651,卖出,4600,29.390,135194,,,换仓·减一档：让位给002128,格力电器
