metric,date,base,candidate,delta
swap_direction,2025-03-19,-0.029484587803584317,-0.029484587803584317,0.0
swap_direction,2025-03-24,-0.24165952336884733,-0.24165952336884733,0.0
swap_direction,2025-03-27,0.9193746193063416,0.9193746193063416,0.0
swap_direction,2025-03-28,0.05670431717943991,0.05670431717943991,0.0
swap_direction,2025-06-10,1.2655578045260556,1.2401548605913102,-0.025402943934745403
swap_direction,2025-06-16,0.4640033300435735,0.49597577291354444,0.03197244286997092
swap_direction,2025-06-17,0.4801522213512067,0.4801522213512067,0.0
swap_direction,2025-06-30,0.586970543026331,0.586970543026331,0.0
swap_direction,2025-07-03,0.4994828944770171,0.4994828944770171,0.0
swap_direction,2025-07-14,0.6073770188882849,0.6073770188882849,0.0
swap_direction,2025-07-15,0.5422978467520869,0.5422978467520869,0.0
swap_direction,2025-07-16,0.5264692212863722,0.5264692212863722,0.0
swap_direction,2025-07-17,-0.8132888382616132,0.6503716362281449,1.4636604744897581
swap_direction,2025-07-18,0.36189464208961586,0.7401629123911103,0.37826827030149446
swap_direction,2025-07-22,0.6372422752016328,0.22272828362162805,-0.41451399158000474
swap_direction,2025-07-23,0.6843920293420891,0.6843920293420891,0.0
swap_direction,2025-07-24,0.6604004680708543,0.6604004680708543,0.0
swap_direction,2025-07-25,0.2449104016310228,0.2449104016310228,0.0
swap_direction,2025-07-28,0.27391159049059766,0.27391159049059766,0.0
