date,net_equity,cash,positions,cash_ratio,debt,margin_ratio,top1_weight,top3_weight
2024-08-06,276245703.32,0.00,8,0.0000,192973015.68,2.4315,0.6160,1.4673
2024-08-07,286690504.06,0.00,8,0.0000,192991519.94,2.4855,0.6110,1.4470
2024-08-08,283477954.02,0.00,8,0.0000,193010025.98,2.4687,0.6152,1.4557
2024-08-09,285295074.21,0.00,8,0.0000,193028533.79,2.4780,0.6154,1.4528
2024-08-12,290674435.95,0.00,8,0.0000,193589025.05,2.5015,0.6138,1.4410
2024-08-13,290775428.13,0.00,8,0.0000,193656233.87,2.5015,0.6106,1.4399
2024-08-14,288758875.36,0.00,8,0.0000,193674803.64,2.4909,0.6094,1.4440
2024-08-15,294697718.55,0.00,8,0.0000,196268648.45,2.5015,0.6038,1.4289
2024-08-16,299379503.65,-233.96,9,-0.0000,199420497.40,2.5012,0.5920,1.4192
2024-08-19,309655083.36,-325.45,9,-0.0000,206230780.19,2.5015,0.5838,1.4026
2024-08-20,299912392.80,-325.45,9,-0.0000,206250555.74,2.4541,0.5940,1.4192
2024-08-21,298305544.35,-325.45,9,-0.0000,206270333.19,2.4462,0.5972,1.4230
2024-08-22,296768221.01,-325.45,9,-0.0000,206290112.54,2.4386,0.6026,1.4245
2024-08-23,297293571.76,-325.45,9,-0.0000,206309893.78,2.4410,0.6008,1.4226
2024-08-26,297151339.34,-325.45,9,-0.0000,206369243.20,2.4399,0.5988,1.4227
2024-08-27,293715400.51,-325.45,9,-0.0000,206389032.04,2.4231,0.6119,1.4246
2024-08-28,289983664.78,-325.45,9,-0.0000,206408822.77,2.4049,0.6128,1.4317
2024-08-29,279200127.81,0.00,8,0.0000,196909597.19,2.4179,0.6060,1.4522
2024-08-30,271802346.07,0.00,8,0.0000,196928478.93,2.3802,0.6267,1.4598
2024-09-02,267599648.41,0.00,8,0.0000,196985129.59,2.3585,0.6263,1.4656
2024-09-03,262446463.96,0.00,7,0.0000,197003115.04,2.3322,0.6382,1.4774
2024-09-04,254184118.25,0.00,7,0.0000,197022005.75,2.2901,0.6431,1.4946
2024-09-05,249884298.73,0.00,7,0.0000,197040898.27,2.2682,0.6463,1.5053
2024-09-06,240785473.85,214.25,6,0.0000,160586781.40,2.4994,0.6539,1.4909
2024-09-09,233350885.65,0.00,6,0.0000,160632763.35,2.4527,0.6604,1.5121
2024-09-10,233911198.51,0.00,6,0.0000,160648166.49,2.4560,0.6554,1.5098
2024-09-11,223201382.30,0.00,5,0.0000,149126339.70,2.4967,0.6692,1.5387
2024-09-12,226109399.23,0.00,5,0.0000,150588888.77,2.5015,0.6702,1.5308
2024-09-13,223519640.20,0.00,5,0.0000,150603328.80,2.4842,0.6736,1.5381
2024-09-18,231632553.02,-197.53,5,-0.0000,154267543.45,2.5015,0.6687,1.5188
2024-09-19,234884779.67,-67.52,5,-0.0000,156433420.82,2.5015,0.6766,1.5130
2024-09-20,237767760.70,0.00,5,0.0000,158353234.30,2.5015,0.6717,1.5059
2024-09-23,240453187.33,0.00,5,0.0000,160141671.67,2.5015,0.6605,1.4979
2024-09-24,266156261.24,-72.83,6,-0.0000,178177560.94,2.4938,0.6460,1.4517
2024-09-25,269810576.83,0.00,6,0.0000,179693808.17,2.5015,0.6325,1.4345
2024-09-26,290049565.83,-1165.91,7,-0.0000,193457695.27,2.4993,0.6158,1.3948
2024-09-27,291721530.13,0.00,7,0.0000,194286190.87,2.5015,0.6288,1.3824
2024-09-30,315055322.17,-1411.79,7,-0.0000,209827979.04,2.5015,0.6192,1.3343
2024-10-08,313168484.24,-1411.79,7,-0.0000,209988942.97,2.4914,0.6106,1.3167
2024-10-09,287153632.31,-1411.79,7,-0.0000,210009078.89,2.3673,0.6248,1.3603
2024-10-10,303798571.46,-1411.79,7,-0.0000,210029216.75,2.4465,0.6158,1.3432
2024-10-11,299725087.67,-1411.79,7,-0.0000,210049356.54,2.4269,0.6137,1.3474
2024-10-14,313627042.51,-1411.79,7,-0.0000,210109781.70,2.4927,0.6009,1.3167
