date,security_code,action,shares,price,amount,pv_ratio,intrinsic_value,reason,security_name
2014-06-24,601088,买入,1100,14.600,16060,0.4295,33.925,定投加仓,中国神华
2014-06-26,601088,买入,700,14.680,10276,0.4301,33.925,定投加仓,中国神华
2014-06-26,600188,买入,200,6.950,1390,0.5866,11.950,定投加仓,
2014-06-30,601088,买入,600,14.540,8724,0.4259,33.925,定投加仓,中国神华
2014-06-30,600188,买入,100,6.920,692,0.5732,11.950,定投加仓,
2014-06-30,601398,买入,100,3.390,339,0.8373,4.049,定投加仓,工商银行
2014-07-14,601988,卖出,1100,2.560,2816,,,换仓：让位给空间更大的600066,
2014-07-14,601088,买入,4000,13.840,55360,0.4357,33.925,定投加仓,中国神华
2014-07-14,600188,买入,100,6.730,673,0.5556,11.950,定投加仓,
2014-07-14,601939,买入,100,3.900,390,0.8388,4.649,定投加仓,建设银行
2014-07-15,601088,买入,400,13.800,5520,0.4192,33.015,定投加仓,中国神华
2014-07-15,601288,买入,100,2.370,237,0.8603,2.743,首次建仓,农业银行
2014-07-18,000651,卖出,4800,28.640,137472,,,换仓·减一档：让位给600585,格力电器
2014-07-18,601088,买入,9100,13.700,124670,0.4168,33.015,定投加仓,中国神华
2014-07-18,600188,买入,100,6.740,674,0.5632,11.950,定投加仓,
2014-07-18,601939,买入,100,3.900,390,0.8409,4.649,定投加仓,建设银行
2014-07-21,601088,买入,3100,13.620,42222,0.4150,33.015,定投加仓,中国神华
2014-07-21,601988,买入,100,2.570,257,0.8460,3.038,首次建仓,
2014-07-22,601088,买入,2300,13.770,31671,0.4125,33.015,定投加仓,中国神华
2014-07-22,600188,买入,100,6.820,682,0.5590,11.950,定投加仓,
2014-07-23,600188,卖出,900,7.020,6318,,,换仓：让位给空间更大的002128,
2014-07-23,002128,买入,900,7.000,6300,0.3716,18.650,首次建仓,电投能源
2014-07-23,601939,买入,100,3.930,393,0.8388,4.649,定投加仓,建设银行
2014-07-24,002128,买入,10200,7.200,73440,0.3753,18.650,定投加仓,电投能源
2014-07-24,601988,买入,200,2.590,518,0.8427,3.038,定投加仓,
2014-07-25,601088,买入,4900,14.760,72324,0.4331,33.015,定投加仓,中国神华
2014-07-25,002128,买入,100,7.390,739,0.4987,14.436,定投加仓,电投能源
2014-07-28,601088,买入,5400,15.300,82620,0.4471,33.015,定投加仓,中国神华
2014-07-28,002128,买入,100,7.560,756,0.5119,14.436,定投加仓,电投能源
2014-07-28,601988,买入,100,2.700,270,0.8592,3.038,定投加仓,
2014-07-31,000933,买入,9600,4.320,41472,0.3157,13.461,首次建仓,神火股份
2014-08-01,000933,买入,11100,4.300,47730,0.3209,13.461,定投加仓,神火股份
2014-08-01,601398,买入,100,3.590,359,0.9195,3.915,定投加仓,工商银行
2014-08-04,000933,买入,14300,4.500,64350,0.3194,13.461,定投加仓,神火股份
2014-08-04,601398,买入,100,3.610,361,0.9170,3.915,定投加仓,工商银行
2014-08-26,601398,卖出,1400,3.490,4886,,,换仓：让位给空间更大的000792,工商银行
2014-08-27,601288,卖出,100,2.450,245,,,换仓：让位给空间更大的000792,农业银行
2014-09-03,601939,卖出,1100,4.110,4521,,,换仓：让位给空间更大的600188,建设银行
2014-09-04,000933,买入,1800,4.380,7884,0.3224,13.461,定投加仓,神火股份
2014-09-04,601288,买入,100,2.510,251,0.9394,2.661,首次建仓,农业银行
2014-09-05,000933,买入,4700,4.470,21009,0.3254,13.461,定投加仓,神火股份
2014-09-05,601988,买入,100,2.740,274,0.9230,2.947,定投加仓,
2014-09-09,000933,买入,4100,4.460,18286,0.3321,13.461,定投加仓,神火股份
2014-09-12,601288,卖出,100,2.500,250,,,换仓：让位给空间更大的600031,农业银行
2014-09-15,000651,卖出,5800,28.930,167794,,,换仓·减一档：让位给600585,格力电器
2014-09-15,000933,买入,18000,4.510,81180,0.3269,13.461,定投加仓,神火股份
2014-09-19,600660,卖出,16300,10.150,165445,,,换仓·减一档：让位给600031,福耀玻璃
2014-09-19,000933,买入,23900,4.490,107311,0.3306,13.461,定投加仓,神火股份
2014-09-24,601988,卖出,500,2.700,1350,,,换仓：让位给空间更大的600188,
2014-09-24,000933,买入,2200,4.550,10010,0.3269,13.461,定投加仓,神火股份
2014-09-25,002304,卖出,2600,63.250,164450,,,换仓·减一档：让位给600031,
2014-09-25,000933,买入,37100,4.510,167321,0.3380,13.461,定投加仓,神火股份
2014-09-25,601088,买入,200,15.420,3084,0.4650,33.205,定投加仓,中国神华
2014-09-25,600031,买入,100,5.770,577,0.5540,10.307,首次建仓,三一重工
2014-09-26,000933,买入,2500,4.510,11275,0.3350,13.461,定投加仓,神火股份
2014-09-29,000933,买入,300,4.610,1383,0.3350,13.461,定投加仓,神火股份
2014-09-30,000933,买入,3600,4.690,16884,0.3425,13.461,定投加仓,神火股份
2014-10-08,000933,买入,300,4.710,1413,0.3484,13.461,定投加仓,神火股份
2014-11-03,000933,买入,8000,4.680,37440,0.3432,13.461,定投加仓,神火股份
2014-11-10,000933,买入,15300,4.750,72675,0.3454,13.461,定投加仓,神火股份
2014-11-10,601988,买入,100,2.860,286,0.8631,3.209,首次建仓,
2014-11-12,000933,买入,14100,4.780,67398,0.3469,13.461,定投加仓,神火股份
2014-11-25,000933,买入,11000,4.960,54560,0.3543,13.461,定投加仓,神火股份
2014-11-25,601288,买入,100,2.610,261,0.8833,2.898,首次建仓,农业银行
2014-11-27,000933,买入,100,5.060,506,0.3699,13.461,定投加仓,神火股份
2014-12-01,000933,买入,21900,5.160,113004,0.3751,13.461,定投加仓,神火股份
2014-12-02,000933,买入,20100,5.190,104319,0.3833,13.461,定投加仓,神火股份
2014-12-03,000933,买入,26000,5.400,140400,0.3855,13.461,定投加仓,神火股份
2014-12-04,000651,卖出,6400,35.990,230336,,,涨幅≥110%·减一档,格力电器
2014-12-04,000933,买入,39200,5.940,232848,0.4011,13.461,定投加仓,神火股份
2014-12-04,601088,买入,12500,18.580,232250,0.5003,34.319,定投加仓,中国神华
2014-12-04,601398,买入,100,4.270,427,0.9162,4.475,首次建仓,工商银行
2014-12-05,000651,卖出,6200,35.510,220162,,,涨幅≥110%·减一档,格力电器
2014-12-05,000933,买入,13600,5.890,80104,0.4413,13.461,定投加仓,神火股份
