security_code,security_name,report_date,notice_date,disclosure_type,report_label,parent_netprofit,total_operate_income,netprofit_yoy,revenue_yoy,is_new,source,retrieved_at_utc
874640,百迈科,2026-06-30,2026-07-31,periodic_report,2026年 半年报,38640799.06,122374583.43,10.4074794355,27.7207333004,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
874669,德硕科技,2026-06-30,2026-07-31,periodic_report,2026年 半年报,50431537.22,666777172.14,13.87824652,30.2482480655,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
874798,环能涡轮,2026-06-30,2026-07-31,periodic_report,2026年 半年报,58296755.35,280027210.71,-40.67,5.6794221831,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
874921,奥飞能源,2026-06-30,2026-07-31,periodic_report,2026年 半年报,19869357.4,80782799.03,37.54,31.6606390001,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
875012,毫厘技术,2026-06-30,2026-07-31,periodic_report,2026年 半年报,12927041.9,119981280.72,1.69,4.1364432838,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
920050,爱伦医疗,2026-06-30,2026-07-31,periodic_report,2026年 半年报,62677845.41,641650456.84,26.17,46.4273924979,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
920262,太湖雪,2026-06-30,2026-07-31,periodic_report,2026年 半年报,27057521.66,324835856.55,42.52,15.6731102536,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
002549,凯美特气,2026-06-30,2026-07-30,periodic_report,2026年 半年报,21921375.45,315552071.14,-60.75,1.6724017621,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
300671,富满微,2026-06-30,2026-07-30,periodic_report,2026年 半年报,90640014.56,677704332.42,353.41,77.0423367042,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
430479,网阔信息,2026-06-30,2026-07-30,periodic_report,2026年 半年报,1407314.97,34732848.4,420.86,-13.3505620317,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
430537,恒通股份,2026-06-30,2026-07-30,periodic_report,2026年 半年报,299337.74,3050271.94,-76.94,-32.1362046445,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
600663,陆家嘴,2026-06-30,2026-07-30,periodic_report,2026年 半年报,1108155492.41,8098464183.29,35.91,22.7478103144,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
600711,盛屯矿业,2026-06-30,2026-07-30,periodic_report,2026年 半年报,1804077962.85,19264358104.81,71.37,39.5572034727,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
600885,宏发股份,2026-06-30,2026-07-30,periodic_report,2026年 半年报,1155954728.38,11022043268.08,19.89,32.0470131211,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
601168,西部矿业,2026-06-30,2026-07-30,periodic_report,2026年 半年报,4169335166,39442827672,123,24.7432887685,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
605033,美邦股份,2026-06-30,2026-07-30,periodic_report,2026年 半年报,51067435.15,554940465.2,41.32,14.3431386924,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
830824,华虹科技,2026-06-30,2026-07-30,periodic_report,2026年 半年报,1804446.58,34993032,-48.88,-20.2588381572,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
831107,金科信息,2026-06-30,2026-07-30,periodic_report,2026年 半年报,-4526751.09,113173587.12,-709.63,-5.0735224125,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
831205,圣博华康,2026-06-30,2026-07-30,periodic_report,2026年 半年报,2622434.04,53163953.92,-14.44,14.9739800437,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
831345,海特股份,2026-06-30,2026-07-30,periodic_report,2026年 半年报,2291555.35,299883155.13,-38.72,25.3469737966,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
831391,三达奥克,2026-06-30,2026-07-30,periodic_report,2026年 半年报,13982803.08,76732188.01,24.28,-13.9284488006,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
832591,翔宇科技,2026-06-30,2026-07-30,periodic_report,2026年 半年报,321251.11,10805036.26,-50.2,-14.0864849945,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
832777,兰州华冶,2026-06-30,2026-07-30,periodic_report,2026年 半年报,-3124150.33,10718208.87,24.93,512.8069169882,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
834782,海伊教育,2026-06-30,2026-07-30,periodic_report,2026年 半年报,-128653.02,527365.61,-536.15,-21.7154498504,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
835052,美信检测,2026-06-30,2026-07-30,periodic_report,2026年 半年报,536314.14,52607767.1,123.67,19.4823763611,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
835080,蓝川环保,2026-06-30,2026-07-30,periodic_report,2026年 半年报,789277.46,14681969.86,86.91,3.0535631512,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
835852,伊普诺康,2026-06-30,2026-07-30,periodic_report,2026年 半年报,-6778917.48,47610131.43,16.5,-34.4599593058,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
836136,美特林科,2026-06-30,2026-07-30,periodic_report,2026年 半年报,107955340.77,387886018.25,202.1,84.9580689078,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
836979,惠民水务,2026-06-30,2026-07-30,periodic_report,2026年 半年报,-4365017.51,34931607.61,-57.01,-6.7945709069,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
837327,创远科技,2026-06-30,2026-07-30,periodic_report,2026年 半年报,-518456.61,6878683.72,64.58,18.666072466,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
837497,眉车股份,2026-06-30,2026-07-30,periodic_report,2026年 半年报,204225.17,41025542.24,-88.05,-3.8425606227,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
837509,佩升前研,2026-06-30,2026-07-30,periodic_report,2026年 半年报,-3135171.83,13933476.35,-312.1,-15.1245121409,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
837929,傲天科技,2026-06-30,2026-07-30,periodic_report,2026年 半年报,-3755033.87,15227996.59,-366.41,-36.311807578,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
871466,三科核电,2026-06-30,2026-07-30,periodic_report,2026年 半年报,-6506022.55,40523525.32,-120.81,24.9103731836,1,eastmoney:RPT_LICO_FN_CPD,2026-08-01T12:40:55+00:00
