security_code,security_name,before_commit,after_commit,old_v,new_v,change_pct,direction,old_report_date,new_report_date,old_available_at,new_available_at,same_report_and_available_at
300502,新易盛,318d5ed0^,318d5ed0,54.6119,56.2158,2.93690569,higher,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
300529,健帆生物,318d5ed0^,318d5ed0,8.3875,8.3875,0.0,unchanged,2026-06-30,2026-06-30,2026-08-07,2026-08-07,True
300604,长川科技,318d5ed0^,318d5ed0,20.8697,20.8697,0.0,unchanged,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
300627,华测导航,318d5ed0^,318d5ed0,11.8458,10.6602,-10.00861065,lower,2026-06-30,2026-06-30,2026-08-14,2026-08-14,True
300628,亿联网络,318d5ed0^,318d5ed0,22.1532,21.4915,-2.9869274,lower,2026-06-30,2026-06-30,2026-08-19,2026-08-19,True
300661,圣邦股份,318d5ed0^,318d5ed0,20.6138,20.6138,0.0,unchanged,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
300685,艾德生物,318d5ed0^,318d5ed0,11.9455,10.464,-12.40215981,lower,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
300699,光威复材,318d5ed0^,318d5ed0,9.4561,9.4561,0.0,unchanged,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
300750,宁德时代,318d5ed0^,318d5ed0,209.5801,209.5801,0.0,unchanged,2026-06-30,2026-06-30,2026-07-25,2026-07-25,True
300759,康龙化成,318d5ed0^,318d5ed0,14.9058,14.9058,0.0,unchanged,2026-06-30,2026-06-30,2026-08-21,2026-08-21,True
300760,迈瑞医疗,318d5ed0^,318d5ed0,92.4423,91.0036,-1.55632216,lower,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
300776,帝尔激光,318d5ed0^,318d5ed0,32.6377,30.5519,-6.39076896,lower,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
300811,铂科新材,318d5ed0^,318d5ed0,16.152,15.7619,-2.41518078,lower,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
300832,新产业,318d5ed0^,318d5ed0,23.708,22.95,-3.197233,lower,2026-06-30,2026-06-30,2026-08-14,2026-08-14,True
300866,安克创新,318d5ed0^,318d5ed0,65.7544,70.6211,7.4013298,higher,2026-06-30,2026-06-30,2026-08-31,2026-08-31,True
300896,爱美客,318d5ed0^,318d5ed0,63.226,63.1751,-0.08050486,lower,2026-06-30,2026-06-30,2026-08-21,2026-08-21,True
300910,瑞丰新材,318d5ed0^,318d5ed0,30.6948,30.0374,-2.14173085,lower,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
301589,诺瓦星云,318d5ed0^,318d5ed0,106.0506,101.4169,-4.36932936,lower,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
600007,中国国贸,318d5ed0^,318d5ed0,14.5559,14.5559,0.0,unchanged,2026-06-30,2026-06-30,2026-08-31,2026-08-31,True
600031,三一重工,318d5ed0^,318d5ed0,16.6152,16.6152,0.0,unchanged,2026-06-30,2026-06-30,2026-08-31,2026-08-31,True
600036,招商银行,318d5ed0^,318d5ed0,53.2766,53.2766,0.0,unchanged,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
600066,宇通客车,318d5ed0^,318d5ed0,9.649,9.649,0.0,unchanged,2026-06-30,2026-06-30,2026-08-11,2026-08-11,True
600085,同仁堂,318d5ed0^,318d5ed0,15.007,15.007,0.0,unchanged,2026-06-30,2026-06-30,2026-08-31,2026-08-31,True
600132,重庆啤酒,318d5ed0^,318d5ed0,17.7382,17.7814,0.24354219,higher,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
600160,巨化股份,318d5ed0^,318d5ed0,12.5195,14.6122,16.71552378,higher,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
600176,中国巨石,318d5ed0^,318d5ed0,12.5922,12.5922,0.0,unchanged,2026-06-30,2026-06-30,2026-08-21,2026-08-21,True
600183,生益科技,318d5ed0^,318d5ed0,13.0203,12.9383,-0.6297858,lower,2026-06-30,2026-06-30,2026-08-15,2026-08-15,True
600276,恒瑞医药,318d5ed0^,318d5ed0,17.4406,17.4051,-0.20354804,lower,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
600285,羚锐制药,318d5ed0^,318d5ed0,11.0214,10.8376,-1.66766472,lower,2026-06-30,2026-06-30,2026-08-12,2026-08-12,True
600298,安琪酵母,318d5ed0^,318d5ed0,28.271,28.271,0.0,unchanged,2026-06-30,2026-06-30,2026-08-15,2026-08-15,True
600309,万华化学,318d5ed0^,318d5ed0,65.8233,65.8233,0.0,unchanged,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
600406,国电南瑞,318d5ed0^,318d5ed0,14.879,13.3491,-10.28227703,lower,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
600415,小商品城,318d5ed0^,318d5ed0,8.9512,9.6125,7.38783627,higher,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
600426,华鲁恒升,318d5ed0^,318d5ed0,17.7558,17.7558,0.0,unchanged,2026-06-30,2026-06-30,2026-08-20,2026-08-20,True
600436,片仔癀,318d5ed0^,318d5ed0,44.4188,44.4188,0.0,unchanged,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
600486,扬农化工,318d5ed0^,318d5ed0,37.9224,38.1111,0.49759509,higher,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
600519,贵州茅台,318d5ed0^,318d5ed0,585.5146,596.0038,1.79144978,higher,2026-06-30,2026-06-30,2026-08-15,2026-08-15,True
600563,法拉电子,318d5ed0^,318d5ed0,50.0223,52.6828,5.31862789,higher,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
600570,恒生电子,318d5ed0^,318d5ed0,6.8697,6.8697,0.0,unchanged,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
600600,青岛啤酒,318d5ed0^,318d5ed0,42.0269,41.9068,-0.28576935,lower,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
600660,福耀玻璃,318d5ed0^,318d5ed0,51.9498,52.6419,1.33224767,higher,2026-06-30,2026-06-30,2026-08-19,2026-08-19,True
600690,海尔智家,318d5ed0^,318d5ed0,22.1223,22.6542,2.40436121,higher,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
600750,华润江中,318d5ed0^,318d5ed0,12.0014,11.6481,-2.94382322,lower,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
600803,新奥股份,318d5ed0^,318d5ed0,16.9778,16.9778,0.0,unchanged,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
600809,山西汾酒,318d5ed0^,318d5ed0,80.056,79.0767,-1.22326871,lower,2026-06-30,2026-06-30,2026-08-31,2026-08-31,True
600862,中航高科,318d5ed0^,318d5ed0,11.9983,10.9235,-8.95793571,lower,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
600885,宏发股份,318d5ed0^,318d5ed0,17.0947,16.9158,-1.04652319,lower,2026-06-30,2026-06-30,2026-07-30,2026-07-30,True
600887,伊利股份,318d5ed0^,318d5ed0,18.3802,18.2434,-0.74427917,lower,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
600900,长江电力,318d5ed0^,318d5ed0,19.8247,19.8247,0.0,unchanged,2026-06-30,2026-06-30,2026-08-31,2026-08-31,True
600938,中国海油,318d5ed0^,318d5ed0,38.1757,38.3987,0.58414122,higher,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
600970,中材国际,318d5ed0^,318d5ed0,14.7905,14.7396,-0.34413982,lower,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
600989,宝丰能源,318d5ed0^,318d5ed0,25.1043,25.1079,0.01434017,higher,2026-06-30,2026-06-30,2026-08-13,2026-08-13,True
600993,马应龙,318d5ed0^,318d5ed0,16.8794,17.2642,2.27970189,higher,2026-06-30,2026-06-30,2026-08-26,2026-08-26,True
601088,中国神华,318d5ed0^,318d5ed0,28.7031,28.7031,0.0,unchanged,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
601100,恒立液压,318d5ed0^,318d5ed0,23.0485,23.0247,-0.10326052,lower,2026-06-30,2026-06-30,2026-08-25,2026-08-25,True
601138,工业富联,318d5ed0^,318d5ed0,22.8041,28.8521,26.52154656,higher,2026-06-30,2026-06-30,2026-08-12,2026-08-12,True
601225,陕西煤业,318d5ed0^,318d5ed0,21.5317,21.5317,0.0,unchanged,2026-06-30,2026-06-30,2026-08-28,2026-08-28,True
601288,农业银行,318d5ed0^,318d5ed0,6.5876,6.5876,0.0,unchanged,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
601318,中国平安,318d5ed0^,318d5ed0,70.9459,70.9459,0.0,unchanged,2026-06-30,2026-06-30,2026-08-21,2026-08-21,True
601398,工商银行,318d5ed0^,318d5ed0,8.1857,8.1857,0.0,unchanged,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
601717,中创智领,318d5ed0^,318d5ed0,30.2804,25.6873,-15.16855788,lower,2026-06-30,2026-06-30,2026-08-31,2026-08-31,True
601838,成都银行,318d5ed0^,318d5ed0,23.8764,23.8764,0.0,unchanged,2026-06-30,2026-06-30,2026-08-27,2026-08-27,True
601899,紫金矿业,318d5ed0^,318d5ed0,26.291,27.609,5.01312236,higher,2026-06-30,2026-06-30,2026-08-22,2026-08-22,True
601939,建设银行,318d5ed0^,318d5ed0,10.2626,10.2626,0.0,unchanged,2026-06-30,2026-06-30,2026-08-29,2026-08-29,True
