trade_date,security_code,security_name,exchange,quality_tier,quality_tier_label,quality_score,pool_layer,fair_price_low,fair_price_high,band_position,margin_of_safety,model_intrinsic_value,model_band_source,model_pv,hold_intrinsic_value,hold_band_source,hold_pv,strategy_tag,total_market_cap_bn,signal_state,review_frozen,note,gap_trading_days,gap_return,gap_max_vol_ratio,gap_max_vol_day,close,mark_close,mark_date,tradable,adjustment_basis,amount,ma20,ma60,amount_ma20,data_source,screened_at_utc
2026-09-15,600436,片仔癀,SSE,L1,L1,79.0,core,39.98,48.86,越带顶+140%,,,,,,,,A-现金流复利型,73.5320,ok,,,,,,,117.31,117.31,2026-09-15,True,2026-09-15,167961444.0,123.453,125.8887,349020607.1,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600436&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:54+00:00
2026-09-15,600285,羚锐制药,SSE,L2,L2,70.9,core,9.75,11.92,越带顶+62%,,,,,,,,A-现金流复利型,11.0190,ok,,,,,,,19.27,19.27,2026-09-15,True,2026-09-15,75131031.0,19.5865,20.9357,143429035.7,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600285&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:47+00:00
2026-09-15,600750,华润江中,SSE,L2,L2,70.9,core,10.48,12.81,越带顶+72%,,,,,,,,A-现金流复利型,14.6950,ok,,,,,,,22.06,22.06,2026-09-15,True,2026-09-15,78571615.0,22.9495,23.6347,114078937.25,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=1.600750&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:48+00:00
2026-09-15,600993,马应龙,SSE,L2,L2,71.1,core,15.54,18.99,越带顶+18%,,,,,,,,A-现金流复利型,9.7630,ok,,,,,,,22.33,22.33,2026-09-15,True,2026-09-15,41011278.0,22.958,22.9438,93848873.55,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600993,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:50+00:00
2026-09-15,000651,格力电器,SZSE,L2,L2,71.3,core,59.95,73.27,低于带底-36%,0.7392,,,,,,,A-现金流复利型,217.7270,ok,,,,,,,38.3,38.3,2026-09-15,True,2026-09-15,917875461.28,38.968,38.0682,1654010578.93,https://push2his.eastmoney.com/api/qt/stock/kline/get?secid=0.000651&fields1=f1%2Cf2%2Cf3%2Cf4%2Cf5%2Cf6&fields2=f51%2Cf52%2Cf53%2Cf54%2Cf55%2Cf56%2Cf57%2Cf58%2Cf59%2Cf60%2Cf61&klt=101&fqt=0&beg=20200101&end=20260915&lmt=1000,2026-09-15T07:55:48+00:00
2026-09-15,600690,海尔智家,SSE,L2,L2,74.2,core,20.39,24.92,带内17%,,,,,,,,A-现金流复利型,198.1560,ok,,,,,,,21.17,21.17,2026-09-15,True,2026-09-15,463330854.0,21.2463,20.7096,694600337.9,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600690,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:50+00:00
2026-09-15,000895,双汇发展,SZSE,L2,L2,70.1,core,13.04,15.94,越带顶+47%,,,,,,,,K-稳态现金分配型,82.7710,ok,,,,,,,23.4,23.4,2026-09-15,True,2026-09-15,152436960.0,24.307,24.3417,260996346.65,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz000895,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:50+00:00
2026-09-15,600887,伊利股份,SSE,L2,L2,75.8,core,16.42,20.07,越带顶+31%,,,,,,,,A-现金流复利型,167.3060,ok,,,,,,,26.27,26.27,2026-09-15,True,2026-09-15,1142390355.0,26.31,25.9625,1655449690.7,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh600887,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:51+00:00
2026-09-15,300866,安克创新,SZSE,L2,L2,72.3,core,63.56,77.68,越带顶+64%,,,,,,,,C-GARP成长型,75.3890,ok,,,,,,,127.3,127.3,2026-09-15,True,2026-09-15,334531670.0,125.9085,117.874,494036302.65,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sz300866,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:49+00:00
2026-09-15,603129,春风动力,SSE,L2,L2,71.1,core,128.05,156.51,越带顶+95%,,,,,,,,C-GARP成长型,44.3870,ok,,,,,,,304.5,304.5,2026-09-15,True,2026-09-15,484824900.0,300.491,285.0708,369428844.7,"https://proxy.finance.qq.com/ifzqgtimg/appstock/app/newfqkline/get?param=sh603129,day,2020-01-01,2026-09-15,1000,",2026-09-15T07:55:51+00:00
