security_code,security_name,entry_date,exit_date,holding_days,buys,sells,invested,proceeds,dividends,return_pct,max_drawdown_in_cycle,max_money_drawdown,entry_stop,entry_stop_ma,entry_pv_ratio,entry_upside,entry_intrinsic_value,entry_band_low,entry_band_high,exit_reason
002466,天齐锂业,2020-06-16,2020-09-10,86,7,1,1783328.00,1382157.00,0.00,-0.224956,0.393162,0.413917,19.8567,60,0.3804,1.6027,67.3851,62.9579,71.8123,跌破建仓日MA60止损
601169,,2020-07-02,2020-07-23,21,3,1,1559.00,1525.00,61.00,-0.021809,0.081998,0.115831,4.5700,60,0.7875,0.2449,6.3239,5.9084,6.7394,换仓：让位给空间更大的601088
601225,陕西煤业,2020-07-08,2022-10-12,826,54,16,30679486.00,70018275.00,5274848.00,1.282251,0.293538,0.315119,4.8293,60,0.3294,1.9740,24.8920,23.2566,26.5274,涨幅≥125%清空
600016,,2020-08-19,2020-08-21,2,1,1,563.00,560.00,0.00,-0.005329,0.000000,0.000000,5.5347,60,0.7624,0.3233,7.4501,6.9606,7.9396,换仓：让位给空间更大的601088
601169,,2020-08-26,2020-08-31,5,1,1,487.00,487.00,0.00,0.000000,0.002049,0.002049,4.8231,60,0.7979,0.2610,6.1413,5.7378,6.5448,换仓：让位给空间更大的601088
601916,,2020-09-10,2020-09-11,1,1,1,416.00,415.00,0.00,-0.002404,0.000000,0.000000,4.1478,60,0.8760,0.1498,4.7831,4.4689,5.0973,换仓：让位给空间更大的601088
601916,,2020-09-15,2020-09-24,9,1,1,210231.00,206752.00,0.00,-0.016548,0.037037,0.037037,4.1732,60,0.8760,0.1308,4.7831,4.4689,5.0973,跌破建仓日MA60止损
600897,,2020-09-17,2020-09-22,5,1,2,136125.00,135627.00,0.00,-0.003658,0.019683,0.011285,18.1456,60,0.8133,0.2329,22.3776,20.9074,23.8478,跌破建仓日MA60止损
600690,海尔智家,2020-09-24,2020-12-07,74,8,7,4679011.00,5675260.00,0.00,0.212919,0.112829,0.108075,20.5491,60,0.8912,0.1531,25.4029,23.7339,27.0719,换仓：让位给空间更大的601088
601916,,2020-10-13,2020-10-15,2,1,1,1272.00,1266.00,0.00,-0.004717,0.000000,0.000000,4.1995,60,0.9181,0.0995,4.6618,4.3555,4.9681,换仓：让位给空间更大的601088
601916,,2020-10-16,2020-10-21,5,3,1,87505.00,87550.00,0.00,0.000514,0.007059,0.007059,4.1945,60,0.9052,0.0969,4.6618,4.3555,4.9681,换仓：让位给空间更大的601088
002466,天齐锂业,2020-11-16,2021-09-28,316,15,13,10101833.00,37007772.00,0.00,2.663471,0.513357,0.549035,21.9518,60,0.3648,1.9698,67.3851,62.9579,71.8123,涨幅≥125%清空
601288,农业银行,2020-11-20,2020-12-16,26,4,1,2266.00,2226.00,0.00,-0.017652,0.053571,0.053571,3.1888,60,0.9200,0.0972,3.5109,3.2802,3.7416,跌破建仓日MA60止损
601088,中国神华,2020-12-07,2021-02-01,56,6,1,3935288.00,3632022.00,0.00,-0.077063,0.109596,0.106741,17.2325,60,0.4674,1.1869,40.4135,37.7583,43.0687,跌破建仓日MA60止损
