effective_from,effective_to,screen_year,security_code,security_name,source,retrieved
2019-12-16,,2019,300777,中简科技,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,300783,三只松鼠,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,600458,时代新材,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,600587,新华医疗,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,600750,江中药业,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,600864,哈投股份,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,600971,恒源煤电,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,600993,马应龙,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,601137,博威合金,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
2019-12-16,,2019,603169,兰石重装,akshare.index_stock_cons(当前成分股+纳入日期，幸存者名单),2026-08-22
