security_code,report_date,eps_diluted,eps_weighted,eps_deducted,bps_before_adj,bps_after_adj,roe,roe_weighted,gross_margin,total_assets,op_cashflow_ps,revenue_yoy,netprofit_yoy,source,retrieved_at_utc
600760,2008-06-30,0.0128,0.0128,0.0126,1.6687,1.67,0.7689,0.7719,12.5352,943269227.36,-0.0034,32.8564,,sina vFD_FinancialGuideLine,2026-08-11T18:20:43+00:00
600766,2008-06-30,-0.05,-0.04,-0.04,1.0351,0.73,-5.74,-5.59,26.7875,669128483.41,0.0777,-53.9556,-122.1945,sina vFD_FinancialGuideLine,2026-08-11T18:21:09+00:00
600771,2008-06-30,0.0938,0.02,-0.04,-3.8564,-4.54,,,66.0927,1629375587.36,0.045,23.0654,-2.8482,sina vFD_FinancialGuideLine,2026-08-11T18:21:24+00:00
600773,2008-06-30,-0.0258,-0.02,-0.01,0.1159,0.06,-35.49,-30.14,71.5,136088546.26,0.0082,-6.7838,,sina vFD_FinancialGuideLine,2026-08-11T18:21:44+00:00
600803,2008-06-30,0.047,0.04,0.04,1.7008,1.6,2.55,2.57,22.8313,1160327546.89,-0.0071,-1.3763,-47.6775,sina vFD_FinancialGuideLine,2026-08-11T18:22:24+00:00
600805,2008-06-30,0.1083,0.038,0.035,4.0041,3.06,1.25,1.26,27.9374,8521460917.35,0.4832,36.2744,17.2933,sina vFD_FinancialGuideLine,2026-08-11T18:22:29+00:00
600816,2008-06-30,0.0396,0.0403,0.0373,0.4492,0.3689,10.915,11.664,61.649,496435287.67,-0.0375,2.6585,829.544,sina vFD_FinancialGuideLine,2026-08-11T18:23:05+00:00
600821,2008-06-30,0.008,0.008,-0.01,1.5873,1.59,0.51,0.5,14.5684,1141444240.52,-0.0711,-63.2642,-31.676,sina vFD_FinancialGuideLine,2026-08-11T18:23:40+00:00
600869,2008-06-30,-0.0951,-0.1,0.08,1.0885,1.07,-8.85,-8.85,30.3929,313951199.75,0.0967,36.3411,-452.9722,sina vFD_FinancialGuideLine,2026-08-11T18:24:30+00:00
600887,2008-06-30,0.1623,0.14,0.09,6.2036,5.58,2.62,2.74,29.2259,11614710366.37,1.5922,23.0572,-46.8819,sina vFD_FinancialGuideLine,2026-08-11T18:25:28+00:00
601238,2008-06-30,1.9269,0.4485,,15.3675,3.2428,13.83,,25.0018,28626329686,1.7523,,,sina vFD_FinancialGuideLine,2026-08-11T18:26:19+00:00
900902,2008-06-30,-0.0308,-0.0295,-0.0361,0.7558,0.7391,-3.9878,-4.181,7.4317,998335146.53,-0.0353,-28.367,-544.0662,sina vFD_FinancialGuideLine,2026-08-11T18:41:39+00:00
900913,2008-06-30,-0.0547,-0.052,-0.053,0.1949,0.1032,-51.36,-50.39,22.1985,168908054.1,0.1221,-89.2277,,sina vFD_FinancialGuideLine,2026-08-11T18:42:02+00:00
900946,2008-06-30,-0.0191,-0.019,-0.026,0.392,0.375,-5.08,-4.96,10.6625,1515332271.96,-0.0371,7.6476,-612.2017,sina vFD_FinancialGuideLine,2026-08-11T18:42:53+00:00
