group,arm,metric,level_median,paired_delta_median,positive_starts,better_starts
full,BL08000OP09,单票权重最大,0.9224357684195394,-0.13550616304112623,0,
full,BL08000OP09,前三权重中位,1.4236412698482184,-0.029814219592148472,2,
full,BL08000OP09,单票超60%天数占比,0.8045261799941086,0.0002560719830955738,7,
full,BL08000OP09,滚动3年年化中位,0.40731193450952863,-0.0674569684915991,1,1
full,BL08000OP09,滚动3年回撤中位,0.44125096492145666,0.01113306963647609,11,3
full,BL08000OP09,滚动3年Calmar中位,0.9069900151036931,-0.1644998641932881,0,
full,BL08000OP09,滚动3年Sharpe中位,0.8976714492761344,-0.09133093717851964,0,
full,BL08000OP09,滚动3年为负的窗口占比,0.003703703703703704,-0.00877800877800878,1,
full,BL08000OP09,滚动5年年化中位,0.40819662175796356,-0.09397523905118133,1,1
full,BL08000OP09,滚动5年年化P25,0.34400291168447505,-0.08520318302354457,0,0
full,BL08000OP09,滚动5年年化最差,0.1375758697281979,0.028261423636142813,8,8
full,BL08000OP09,滚动5年回撤中位,0.4847960161447429,0.009553974034036683,9,5
full,BL08000OP09,滚动5年Calmar中位,0.8515910682024286,-0.1850008145097981,1,1
full,BL08000OP09,滚动5年Sharpe中位,0.8973334736948635,-0.10388594041197458,0,0
full,BL08000OP09,滚动5年为负的窗口占比,0.0,0.0,0,4
full,BL08000OP09,滚动5年窗口数,102.0,0.0,0,
full,BL08000OP09,互不重叠5年块中位,0.5125277448582515,-0.11501439501318689,0,0
full,BL08000OP09,滚动10年年化中位,0.3985400947948273,-0.06560876717082875,2,
full,BL08000OP09,滚动10年窗口数,42.0,0.0,0,
full,BL08000OP09,逐年收益中位,0.4053017030033217,-0.034210693060272135,6,6
full,BL08000OP09,逐年为正比例,0.7142857142857143,0.0,1,
full,BL08000OP09,逐年最差,-0.21725707145326867,0.055700296390362336,10,10
full,BL08000OP09,完整自然年数,12.5,0.0,0,
full,BL08000OP09,强平次数,0.0,0.0,0,
full,BL08000OP09,最低担保比例,1.8466991500556889,0.027800027490329837,10,
full,BL08000OP09,最低股票同跌缓冲,0.2960293466871213,0.011303951633514941,10,
full,BL08000OP09,最低总资产冲击缓冲,0.2960293466871213,0.01130395163351483,10,
full,BL08000OP09,rf覆盖率,1.0,0.0,0,
full,BL08000OP09,年化_交易日口径,0.39796422673968146,-0.03424708821224365,3,
full,BL08000OP09,最低担保比例日,20200323.0,0.0,3,
full,BL08000OP09,最低股票同跌缓冲日,20200323.0,0.0,3,
full,BL08000OP09,滚动5年年化最差窗口末日,20200430.0,0.0,5,
full,BL08000OP09,最大回撤起日,20150609.0,0.0,1,
full,BL08000OP09,最大回撤止日,20160614.0,50.5,9,
full,BL08000OP09,末次净值日,20260828.0,0.0,0,
full,BL08500OP09,年化,0.3610191158505024,-0.08770879757978445,0,0
full,BL08500OP09,最大回撤,0.5918922186768931,-0.09885952882572835,0,14
full,BL08500OP09,Sharpe,0.8420590530185561,-0.10947254475229684,3,3
full,BL08500OP09,Calmar,0.6209705333055084,-0.03373902229460263,6,6
full,BL08500OP09,平均仓位,1.603480336272513,-0.055259618301682134,0,14
full,BL08500OP09,年均换手,5.661412668725612,-0.968684838432647,0,14
full,BL08500OP09,持仓数中位,6.0,-1.0,0,
full,BL08500OP09,单票权重中位,0.6499433613736494,0.0007324927806098835,8,
full,BL08500OP09,单票权重P90,0.8163321813488754,-0.06416216943236513,4,
full,BL08500OP09,单票权重最大,0.9391356769978716,-0.09596396199039559,2,
full,BL08500OP09,前三权重中位,1.4261959580754007,-0.03094493431102674,3,
full,BL08500OP09,单票超60%天数占比,0.800281690140845,0.010167441255193088,10,
full,BL08500OP09,滚动3年年化中位,0.38613716250195074,-0.1146346380291956,0,0
full,BL08500OP09,滚动3年回撤中位,0.45486068640548066,0.005185010993517092,10,4
full,BL08500OP09,滚动3年Calmar中位,0.8470759207825402,-0.27778481669886274,0,
full,BL08500OP09,滚动3年Sharpe中位,0.8916932113373556,-0.15352077243044143,0,
full,BL08500OP09,滚动3年为负的窗口占比,0.0,-0.012256442489000628,1,
full,BL08500OP09,滚动5年年化中位,0.39058539313585017,-0.1557198786815407,0,0
full,BL08500OP09,滚动5年年化P25,0.30395951953848477,-0.07601093399742698,2,2
full,BL08500OP09,滚动5年年化最差,0.12489386530557889,0.03798493831205241,8,8
full,BL08500OP09,滚动5年回撤中位,0.47147805710280555,0.003768268477624903,9,5
full,BL08500OP09,滚动5年Calmar中位,0.8724189345830613,-0.18680566140470017,0,0
full,BL08500OP09,滚动5年Sharpe中位,0.8961753170767148,-0.18329988438306027,0,0
