security_code,security_name,report_date,available_at,base_path,BASE:status,BASE:intrinsic_value,BASE:reinvestment_rate,BASE:g0,BASE:roic_g_source,BASE:wc_first_period,BASE:wc_last_period,BASE:wc_start,BASE:wc_end,BASE:wc_change,BASE:wc_financing_start,BASE:wc_financing_end,BASE:wc_conflict_years,WCREP:status,WCREP:intrinsic_value,WCREP:reinvestment_rate,WCREP:g0,WCREP:roic_g_source,WCREP:wc_first_period,WCREP:wc_last_period,WCREP:wc_start,WCREP:wc_end,WCREP:wc_change,WCREP:wc_financing_start,WCREP:wc_financing_end,WCREP:wc_conflict_years,WCOP:status,WCOP:intrinsic_value,WCOP:reinvestment_rate,WCOP:g0,WCOP:roic_g_source,WCOP:wc_first_period,WCOP:wc_last_period,WCOP:wc_start,WCOP:wc_end,WCOP:wc_change,WCOP:wc_financing_start,WCOP:wc_financing_end,WCOP:wc_conflict_years,WCREP_vs_BASE,WCOP_vs_BASE,WCOP_vs_WCREP
002270,华明装备,2026-06-30,2026-08-29,growth,ok,7.4073,-0.2715,0.0000,trailing,2021-12-31,2025-12-31,1405501129.1300,826879134.4900,-578621994.6400,310410295.2400,577484604.1900,0,ok,7.4073,-0.1755,0.0000,trailing,2021-12-31,2025-12-31,905911657.7100,549431135.9000,-356480521.8100,310410295.2400,577484604.1900,0,ok,7.4073,-0.0601,0.0000,trailing,2021-12-31,2025-12-31,1216321952.9500,1126915740.0900,-89406212.8600,310410295.2400,577484604.1900,0,0.0,0.0,0.0
002287,奇正藏药,2026-06-30,2026-08-22,growth,ok,16.5609,0.2859,0.0000,trailing,2021-12-31,2025-12-31,-457700468.8800,-201287960.8300,256412508.0500,576128818.9300,764997107.1000,0,ok,16.5609,0.2513,0.0000,trailing,2021-12-31,2025-12-31,-304174537.0900,-133486034.4100,170688502.6800,576128818.9300,764997107.1000,0,ok,16.5609,0.3276,0.0000,trailing,2021-12-31,2025-12-31,271954281.8400,631511072.6900,359556790.8500,576128818.9300,764997107.1000,0,0.0,0.0,0.0
002311,海大集团,2026-06-30,2026-08-25,growth,ok,24.9668,-0.1411,0.0000,trailing,2021-12-31,2025-12-31,1847351422.6900,-6237216997.8900,-8084568420.5800,0.0000,0.0000,0,ok,26.0921,0.0642,0.0257,capital,2021-12-31,2025-12-31,5002915514.8200,288460926.9400,-4714454587.8800,0.0000,0.0000,0,ok,26.0921,0.0642,0.0257,capital,2021-12-31,2025-12-31,5002915514.8200,288460926.9400,-4714454587.8800,0.0000,0.0000,0,0.04507185542400305,0.04507185542400305,0.0
002352,顺丰控股,2026-06-30,2026-08-29,growth,ok,27.7614,-0.8101,0.0000,trailing,2021-12-31,2025-12-31,9951755000.0000,206253000.0000,-9745502000.0000,0.0000,244734000.0000,0,ok,27.7614,-0.6585,0.0000,trailing,2021-12-31,2025-12-31,2660417000.0000,-567871000.0000,-3228288000.0000,0.0000,244734000.0000,0,ok,27.7614,-0.6528,0.0000,trailing,2021-12-31,2025-12-31,2660417000.0000,-323137000.0000,-2983554000.0000,0.0000,244734000.0000,0,0.0,0.0,0.0
002371,北方华创,2026-06-30,2026-08-26,growth,ok,111.8553,0.7084,0.0928,capital,2021-12-31,2025-12-31,1743399716.9700,10911413204.4200,9168013487.4500,243595394.8200,482489230.5400,0,ok,122.2807,1.0073,0.1311,capital,2021-12-31,2025-12-31,2529127908.8600,17164703349.4300,14635575440.5700,243595394.8200,482489230.5400,0,ok,122.2807,1.0204,0.1311,capital,2021-12-31,2025-12-31,2772723303.6800,17647192579.9700,14874469276.2900,243595394.8200,482489230.5400,0,0.09320434525677368,0.09320434525677368,0.0
002372,伟星新材,2026-06-30,2026-08-07,growth,ok,5.6030,0.0550,0.0000,none,2021-12-31,2025-12-31,225905882.2900,-25991955.1300,-251897837.4200,56054290.1600,52691734.5800,0,ok,5.6030,0.0782,0.0000,none,2021-12-31,2025-12-31,257752820.2300,109252347.3200,-148500472.9100,56054290.1600,52691734.5800,0,ok,5.6030,0.0774,0.0000,none,2021-12-31,2025-12-31,313807110.3900,161944081.9000,-151863028.4900,56054290.1600,52691734.5800,0,0.0,0.0,0.0
002379,宏桥控股,2026-06-30,2026-08-22,growth,ok,23.0183,,0.0000,entity_reset_none,2025-12-31,2025-12-31,16650291665.1200,16650291665.1200,0.0000,79437942.3600,79437942.3600,0,ok,23.0183,,0.0000,entity_reset_none,2025-12-31,2025-12-31,22058632467.1400,22058632467.1400,0.0000,79437942.3600,79437942.3600,0,ok,23.0183,,0.0000,entity_reset_none,2025-12-31,2025-12-31,22138070409.5000,22138070409.5000,0.0000,79437942.3600,79437942.3600,0,0.0,0.0,0.0
002409,雅克科技,2026-06-30,2026-08-26,growth,ok,20.3418,2.1005,0.1122,capital,2021-12-31,2025-12-31,1189144878.1500,3113367084.6200,1924222206.4700,92240974.4700,43041541.3300,0,ok,20.3418,1.9857,0.1122,capital,2021-12-31,2025-12-31,920023239.6800,2480408214.9600,1560384975.2800,92240974.4700,43041541.3300,0,ok,20.3418,1.9702,0.1122,capital,2021-12-31,2025-12-31,1012264214.1500,2523449756.2900,1511185542.1400,92240974.4700,43041541.3300,0,0.0,0.0,0.0
002415,海康威视,2026-06-30,2026-07-25,growth,ok,17.8014,0.1805,0.0000,none,2021-12-31,2025-12-31,32189048238.9800,33843308623.5400,1654260384.5600,1316035122.0600,2430030662.6500,0,ok,17.8014,0.1503,0.0000,none,2021-12-31,2025-12-31,21721207597.7200,21607301225.9500,-113906371.7700,1316035122.0600,2430030662.6500,0,ok,17.8014,0.1694,0.0000,none,2021-12-31,2025-12-31,23037242719.7800,24037331888.6000,1000089168.8200,1316035122.0600,2430030662.6500,0,0.0,0.0,0.0
002463,沪电股份,2026-06-30,2026-08-26,growth,ok,20.5161,0.5100,0.1468,capital,2021-12-31,2025-12-31,1547384429.0000,1229572567.0000,-317811862.0000,43131683.0000,58147038.0000,0,ok,20.6714,0.6292,0.1811,capital,2021-12-31,2025-12-31,1530954297.0000,2351984451.0000,821030154.0000,43131683.0000,58147038.0000,0,ok,20.6723,0.6308,0.1815,capital,2021-12-31,2025-12-31,1574085980.0000,2410131489.0000,836045509.0000,43131683.0000,58147038.0000,0,0.0075696647998400035,0.00761353278644572,4.3538415395172336e-05
002466,天齐锂业,2026-06-30,2026-08-28,growth,ok,45.9244,0.1871,0.0000,none,2021-12-31,2025-12-31,-118354796.4200,1387087826.5600,1505442622.9800,2014403009.4600,628073019.2100,0,ok,45.9244,0.1939,0.0000,none,2021-12-31,2025-12-31,-181140735.7000,1749148011.0000,1930288746.7000,2014403009.4600,628073019.2100,0,ok,45.9244,0.1717,0.0000,none,2021-12-31,2025-12-31,1833262273.7600,2377221030.2100,543958756.4500,2014403009.4600,628073019.2100,0,0.0,0.0,0.0
002475,立讯精密,2026-06-30,2026-08-25,growth,ok,32.5651,-0.2163,0.0000,trailing,2021-12-31,2025-12-31,-9116977354.7100,-33895013041.9000,-24778035687.1901,0.0000,1263239984.5600,0,ok,34.1210,0.1350,0.0171,capital,2021-12-31,2025-12-31,4602666323.0000,1157008879.7400,-3445657443.2600,0.0000,1263239984.5600,0,ok,34.3671,0.1558,0.0197,capital,2021-12-31,2025-12-31,4602666323.0000,2420248864.3000,-2182417458.7000,0.0000,1263239984.5600,0,0.04777814285845894,0.05533531295773697,0.00721256704082518
002532,天山铝业,2026-06-30,2026-08-19,growth,ok,16.3509,0.6600,0.0447,capital,2021-12-31,2025-12-31,-12922587255.9400,-2544913261.5500,10377673994.3900,41730861.6600,112836999.4700,0,ok,15.3815,0.2384,0.0162,capital,2021-12-31,2025-12-31,-1354653259.6500,1979097872.1500,3333751131.8000,41730861.6600,112836999.4700,0,ok,15.3910,0.2426,0.0164,capital,2021-12-31,2025-12-31,-1312922397.9900,2091934871.6200,3404857269.6100,41730861.6600,112836999.4700,0,-0.059287256358977136,-0.05870624858570472,0.0006176250690763663
002568,百润股份,2026-06-30,2026-08-05,growth,ok,8.5276,1.0578,0.0056,capital,2021-12-31,2025-12-31,-734995843.5400,148163489.2400,883159332.7800,0.0000,0.0000,0,ok,8.5276,1.0919,0.0056,capital,2021-12-31,2025-12-31,-358288500.5700,622734081.7600,981022582.3300,0.0000,0.0000,0,ok,8.5276,1.0919,0.0056,capital,2021-12-31,2025-12-31,-358288500.5700,622734081.7600,981022582.3300,0.0000,0.0000,0,0.0,0.0,0.0
002594,比亚迪,2026-06-30,2026-08-29,growth,ok,57.4053,0.3170,0.0546,capital,2021-12-31,2025-12-31,-57157715000.0000,-278005077000.0000,-220847362000.0000,8743126000.0000,5484126000.0000,0,ok,72.8036,1.2940,0.1722,capital,2021-12-31,2025-12-31,-12917369000.0000,-105803504000.0000,-92886135000.0000,8743126000.0000,5484126000.0000,0,ok,72.8036,1.2691,0.1722,capital,2021-12-31,2025-12-31,-4174243000.0000,-100319378000.0000,-96145135000.0000,8743126000.0000,5484126000.0000,0,0.2682382985543148,0.2682382985543148,0.0
