security_code,security_name,report_date,legacy_wc,dedup_wc,operating_wc,financing_receivables,receivable_basis,payable_basis
688018,乐鑫科技,2022-12-31,601961022.5699999,480684673.92999995,482126193.92999995,1441520.0,aggregate,aggregate
688018,乐鑫科技,2021-12-31,604219652.44,424367915.96000004,424367915.96000004,0.0,aggregate,aggregate
688018,乐鑫科技,2020-12-31,354443797.65,251687499.73999995,251687499.73999995,0.0,aggregate,aggregate
688082,盛美上海,2025-12-31,5877211437.95,4950085989.249998,4950085989.249998,0.0,aggregate,aggregate
688082,盛美上海,2024-12-31,4241152972.6899986,3597192685.1099997,3597192685.1099997,0.0,aggregate,aggregate
688082,盛美上海,2023-12-31,3272549092.5599995,3172934921.7200003,3172934921.7200003,0.0,aggregate,aggregate
688082,盛美上海,2022-12-31,2105325200.8000002,2000433879.9299994,2000433879.9299994,0.0,aggregate,aggregate
688082,盛美上海,2021-12-31,756710231.19,947943539.72,947943539.72,0.0,aggregate,aggregate
688082,盛美上海,2020-12-31,469520625.33000016,505387055.91,505387055.91,0.0,aggregate,aggregate
688300,联瑞新材,2025-12-31,208821225.39999986,151669872.57000002,267744797.33000004,116074924.76,aggregate,aggregate
688300,联瑞新材,2024-12-31,175921230.76999998,112517989.02999997,227077581.45999998,114559592.43,aggregate,aggregate
688300,联瑞新材,2023-12-31,193354031.10000002,122338678.14999999,225316380.66,102977702.51,aggregate,aggregate
688300,联瑞新材,2022-12-31,101286443.93,74886247.62,210157147.78,135270900.16,aggregate,aggregate
688300,联瑞新材,2021-12-31,215363768.19,131930433.64,257958264.49,126027830.85,aggregate,aggregate
688300,联瑞新材,2020-12-31,148168648.63999993,92317448.39999999,198111951.21999997,105794502.82,aggregate,aggregate
688301,奕瑞科技,2025-12-31,624411315.6300004,663682750.66,723186505.13,59503754.47,aggregate,aggregate
688301,奕瑞科技,2024-12-31,1160750944.4899998,930954802.98,944874481.26,13919678.28,aggregate,aggregate
688301,奕瑞科技,2023-12-31,357304766.28,512643698.2499999,538199681.6999999,25555983.45,aggregate,aggregate
688301,奕瑞科技,2022-12-31,902123759.52,730346066.4900001,739078822.1600001,8732755.67,aggregate,aggregate
688301,奕瑞科技,2021-12-31,636788276.58,419986058.5200002,466327733.1000002,46341674.58,aggregate,aggregate
688301,奕瑞科技,2020-12-31,305171816.4200001,216773616.64000005,235923433.90000004,19149817.26,aggregate,aggregate
688041,海光信息,2025-12-31,12094085789.820002,9174897882.400002,9375951346.87,201053464.47,aggregate,aggregate
688041,海光信息,2024-12-31,8028229561.599999,6488306870.039999,6488306870.039999,0.0,aggregate,aggregate
688041,海光信息,2023-12-31,5135333877.990001,3966301150.710001,3999193831.760001,32892681.05,aggregate,aggregate
688041,海光信息,2022-12-31,3399452213.29,2498691763.4900002,2498691763.4900002,0.0,aggregate,aggregate
688041,海光信息,2021-12-31,946587622.0200002,898281826.5,898281826.5,0.0,aggregate,aggregate
688041,海光信息,2020-12-31,353674320.89,287585176.56000006,287585176.56000006,0.0,aggregate,aggregate
920394,民士达,2025-12-31,186375196.63,153749852.13,188010077.98,34260225.85,aggregate,aggregate
920394,民士达,2024-12-31,32372821.590000004,57713064.63000001,117411869.33000001,59698804.7,aggregate,aggregate
920394,民士达,2023-12-31,110492762.57999998,100269770.77,116643359.53,16373588.76,aggregate,aggregate
920394,民士达,2022-12-31,-5176298.900000036,36442354.82000002,38855960.80000002,2413605.98,aggregate,aggregate
920394,民士达,2021-12-31,-74868460.24999999,-22774691.07,-22774691.07,0.0,aggregate,aggregate
920394,民士达,2020-12-31,68868095.41,52860286.81999999,55627420.699999996,2767133.88,aggregate,aggregate
002128,电投能源,2025-12-31,-1240949666.250001,317918105.22999907,1219075867.939999,901157762.71,aggregate,aggregate
002128,电投能源,2024-12-31,99470147.0199995,831513191.5799994,1608991725.1099994,777478533.53,aggregate,aggregate
002128,电投能源,2023-12-31,-491553478.3800001,558602364.3899994,826111383.2999994,267509018.91,aggregate,aggregate
002128,电投能源,2022-12-31,-524373970.079998,723195672.4200006,1046738888.1500006,323543215.73,aggregate,aggregate
002128,电投能源,2021-12-31,3028172482.720002,1985945384.8700006,2767917725.3000007,781972340.43,aggregate,aggregate
002128,电投能源,2020-12-31,818784555.0500011,838863869.75,1764934974.78,926071105.03,aggregate,aggregate
002379,宏桥控股,2025-12-31,16650291665.120007,22058632467.14,22138070409.5,79437942.36,aggregate,aggregate
002379,宏桥控股,2024-12-31,16758050397.529995,22145870757.22,22225763149.32,79892392.1,aggregate,aggregate
002379,宏桥控股,2023-12-31,101137905.55000019,348633876.74000007,355653224.93000007,7019348.19,aggregate,aggregate
