security_code,security_name,first_sig,n_sig,peak_revenue
600594,益佰制药,2009,13,38.1
000989,九芝堂,2009,17,38.0
000968,蓝焰控股,2009,5,37.8
600658,电子城,2009,13,37.7
000679,大连友谊,2009,6,36.3
002122,ST汇洲,2009,3,35.8
002212,天融信,2009,7,35.4
000623,吉林敖东,2009,17,34.5
600611,大众交通,2009,2,34.5
002039,黔源电力,2009,15,32.9
002284,亚太股份,2009,3,32.8
600867,通化东宝,2009,16,32.7
600035,楚天高速,2009,13,32.6
002327,富安娜,2009,17,31.8
600533,栖霞建设,2009,6,31.4
002016,世荣兆业,2009,11,31.1
600033,福建高速,2009,17,30.5
002305,*ST南置,2009,7,30.5
000608,阳光股份,2009,9,30.4
002069,獐子岛,2009,3,29.4
000635,英力特,2009,3,28.8
002317,众生药业,2009,15,26.8
002295,精艺股份,2009,2,25.8
000089,深圳机场,2009,4,24.7
600197,伊力特,2009,17,23.0
002073,软控股份,2009,3,22.1
002275,桂林三金,2009,17,21.9
002133,广宇集团,2009,5,21.6
600874,创业环保,2009,7,21.5
600054,黄山旅游,2009,14,21.1
002291,遥望科技,2009,10,20.7
002225,濮耐股份,2009,3,20.2
600439,ST瑞贝卡,2009,2,20.0
002186,全聚德,2009,11,19.4
600650,锦江在线,2009,3,19.2
600201,生物股份,2009,17,19.0
002132,恒星科技,2009,2,18.7
600716,凤凰股份,2009,4,18.3
600897,厦门空港,2009,10,17.9
000428,华天酒店,2009,8,17.8
000655,金岭矿业,2009,3,17.8
000061,农产品,2009,3,17.4
600880,博瑞传播,2009,9,16.9
600674,川投能源,2009,15,16.7
002123,梦网科技,2009,5,16.3
002041,登海种业,2009,9,16.0
600571,信雅达,2009,12,15.4
002232,启明信息,2009,2,15.4
000014,沙河股份,2009,6,13.9
600202,哈空调,2009,2,13.7
002306,ST云网,2009,4,13.6
002194,武汉凡谷,2009,1,13.5
000506,招金黄金,2009,5,13.3
600289,ST信通,2009,8,13.3
000534,万泽股份,2009,12,12.9
000159,国际实业,2009,2,12.4
002106,莱宝高科,2009,3,12.4
000925,众合科技,2009,2,12.1
002328,新朋股份,2009,1,11.8
000993,闽东电力,2009,10,11.6
000888,峨眉山A,2009,14,11.1
600227,赤天化,2009,1,11.1
000571,新大洲A,2009,5,10.9
600616,金枫酒业,2009,15,10.8
600158,中体产业,2009,1,9.7
