security_code,security_name,effective_from,effective_to
002714,牧原股份,2023-04-28,2024-03-29
002714,牧原股份,2024-04-30,2025-03-31
002714,牧原股份,2025-04-25,2026-03-28
002812,恩捷股份,2023-03-25,2023-04-28
002833,弘亚数控,2016-03-17,2019-04-27
002833,弘亚数控,2022-03-18,2022-04-30
002841,视源股份,2017-03-15,2021-04-30
002841,视源股份,2022-03-29,2022-04-27
002841,视源股份,2023-03-25,2023-03-28
002841,视源股份,2023-04-22,2024-04-26
002901,大博医疗,2020-04-30,2022-03-18
002901,大博医疗,2023-04-28,2023-04-30
300009,安科生物,2023-03-31,2025-03-31
300033,同花顺,2012-04-30,2014-04-29
300033,同花顺,2016-03-17,2019-01-17
300033,同花顺,2020-04-29,2020-04-30
300033,同花顺,2021-04-01,2023-03-25
300033,同花顺,2025-04-25,9999-12-31
300059,东方财富,2022-03-26,2022-04-27
300059,东方财富,2022-04-29,2022-04-30
300146,汤臣倍健,2013-04-30,2014-03-26
300146,汤臣倍健,2021-04-01,2021-04-27
300146,汤臣倍健,2021-04-30,2022-03-18
300308,中际旭创,2024-04-23,9999-12-31
300394,天孚通信,2024-04-23,9999-12-31
300482,万孚生物,2022-04-27,2023-04-26
300487,蓝晓科技,2023-04-26,2024-04-23
300502,新易盛,2025-04-24,9999-12-31
300529,健帆生物,2020-04-02,2023-03-31
300529,健帆生物,2023-04-26,2023-04-30
300529,健帆生物,2024-03-29,9999-12-31
300573,兴齐眼药,2025-03-31,9999-12-31
300595,欧普康视,2019-01-17,2021-04-01
300595,欧普康视,2021-04-27,2022-03-29
300628,亿联网络,2017-03-15,2021-04-27
300628,亿联网络,2023-03-25,2024-04-23
300628,亿联网络,2024-04-26,9999-12-31
300661,圣邦股份,2022-03-31,2023-04-22
300661,圣邦股份,2023-04-28,2023-04-30
300661,圣邦股份,2024-03-29,2024-04-30
300750,宁德时代,2023-04-22,2024-03-29
300750,宁德时代,2026-03-25,9999-12-31
300760,迈瑞医疗,2018-03-24,2020-04-02
300760,迈瑞医疗,2021-04-01,9999-12-31
300782,卓胜微,2019-04-30,2024-04-30
300866,安克创新,2021-04-30,2024-04-26
300866,安克创新,2025-04-29,9999-12-31
300896,爱美客,2024-03-29,9999-12-31
600016,民生银行,2015-03-10,2015-03-31
600016,民生银行,2016-04-30,2017-03-15
600031,三一重工,2011-03-19,2013-03-15
600031,三一重工,2013-03-30,2013-04-30
600031,三一重工,2019-04-30,2022-04-27
600036,招商银行,2004-04-30,2005-04-30
600036,招商银行,2009-04-30,2010-04-30
600066,宇通客车,2012-04-30,2013-03-15
