signal_date,exec_date,source_code,close,ma,ma_prev,weak_run,cross_count,hold_pv,trigger_code,trigger_pv,block_reason,next_source,shares_held
2014-09-16,2014-09-17,600660,9.9800,10.1380,10.1055,0,0,0.7405,600031,0.5501,均线未下行,,179200
2014-09-17,2014-09-18,600660,10.0300,10.1375,10.1250,0,0,0.7442,600031,0.5657,均线未下行,,179200
2014-09-18,2014-09-19,600660,9.9600,10.1345,10.1255,0,0,0.7390,600031,0.5589,均线未下行,,179200
2014-09-23,2014-09-24,601988,2.6800,2.6980,2.6980,0,0,0.9094,600309,0.7530,均线未下行,,1600
2014-09-24,2014-09-25,600660,10.1500,10.1730,10.1375,0,0,0.7531,600031,0.5540,均线未下行,002304,179200
2014-09-25,2014-09-26,601988,2.7000,2.7005,2.6995,0,0,0.9162,600031,0.5598,均线未下行,,1600
2014-09-26,2014-09-29,601988,2.6900,2.7035,2.7010,0,0,0.9128,600031,0.5608,均线未下行,,1600
2014-09-29,2014-09-30,601988,2.6800,2.7035,2.6990,0,0,0.9094,600031,0.5657,均线未下行,,1600
2014-09-30,2014-10-08,601988,2.7000,2.7055,2.6980,0,0,0.8765,600031,0.5676,均线未下行,,1600
2014-10-08,2014-10-09,601988,2.6900,2.7055,2.6990,0,0,0.8733,600031,0.5763,均线未下行,,1600
2014-10-09,2014-10-10,601988,2.7000,2.7050,2.7005,0,0,0.8765,600031,0.5734,均线未下行,,1600
2014-10-10,2014-10-13,601988,2.6900,2.7035,2.7035,0,0,0.8733,600031,0.5657,均线未下行,,1600
2014-10-13,2014-10-14,601988,2.6700,2.7000,2.7035,0,0,0.8668,600031,0.5812,均线未下行,,1600
2014-10-14,2014-10-15,601988,2.6600,2.6965,2.7055,0,0,0.8636,600031,0.5783,均线未下行,,1600
2014-10-15,2014-10-16,601988,2.6700,2.6945,2.7055,0,0,0.8668,600031,0.5754,均线未下行,601398,1600
2014-10-16,2014-10-17,601988,2.6700,2.6930,2.7050,0,0,0.8668,600031,0.5724,均线未下行,600660,1600
2014-10-17,2014-10-20,601988,2.6700,2.6905,2.7035,0,0,0.8668,600031,0.5870,均线未下行,,1600
2014-10-20,2014-10-21,601988,2.6800,2.6890,2.7000,0,0,0.8701,600031,0.5851,均线未下行,,1700
2014-10-21,2014-10-22,601988,2.6700,2.6865,2.6965,0,0,0.8668,600031,0.5715,均线未下行,,1700
2014-11-20,2014-11-21,601939,4.1700,4.1745,4.1310,0,0,0.8489,600031,0.5900,均线未下行,,100
2014-12-30,2014-12-31,600188,12.6200,12.6445,12.2095,0,0,0.8451,600585,0.6280,均线未下行,600660,700
2015-01-13,2015-01-14,601939,6.1800,6.2785,6.0965,0,0,1.2271,600585,0.6404,均线未下行,,100
2015-01-14,2015-01-15,601939,6.3300,6.3300,6.1225,0,0,1.2569,600585,0.6346,均线未下行,,100
2015-01-28,2015-01-29,601988,4.5500,4.5575,4.3095,0,0,1.3828,000792,0.8470,均线未下行,,1800
2015-02-26,2015-02-27,002304,78.4600,79.4375,78.9555,0,0,0.8183,600585,0.5924,均线未下行,,4200
2015-11-13,2015-11-16,601398,4.6000,4.6165,4.5615,0,0,0.9599,000651,0.7670,均线未下行,,25700
2015-11-18,2015-11-19,002304,64.7300,64.7695,63.4615,0,0,1.2068,000338,0.6289,均线未下行,,3740
2015-11-19,2015-11-20,002304,64.9800,65.0185,63.7715,0,0,1.2115,000338,0.6358,均线未下行,,3740
2015-11-20,2015-11-23,002304,64.6800,65.1825,64.0025,0,0,1.2059,000338,0.6539,均线未下行,,3740
